priority_rank,brand,route,countries,categories,market_roles,official_url,affiliate_target,next_action,cash_status
13,allplants,/go/allplants/,UK,frozen plant-based meals,UK plant-based frozen meal brand with strong residual search demand and route needing live checkout check,https://allplants.com/,affiliate application,Promote cautiously from watchlist with active-route caveat,route_ready_affiliate_pending
14,Angel Delivery,/go/angel-delivery/,New Zealand,frozen meals,"New Zealand frozen meal and care package delivery brand for families, new parents, and easy dinners",https://www.angeldelivery.co.nz/,direct partnership,Add to New Zealand frozen and family meal pages,route_ready_affiliate_pending
15,Apetito UK,/go/apetito-uk/,UK,frozen senior meals,"UK frozen meal provider for older adults, care settings, and home meal delivery demand",https://www.apetito.co.uk/,direct partnership,Add to UK senior frozen meal alternatives pages,route_ready_affiliate_pending
16,Athletes Kitchen,/go/athletes-kitchen/,Canada,high protein meal prep,Canadian athlete-focused meal-prep delivery brand,https://athleteskitchen.ca/,direct partnership,Add to Canada fitness meal-prep pages,route_ready_affiliate_pending
17,Athletes Kitchen Toronto,/go/athletes-kitchen-toronto/,Canada,prepared meals,regional fitness meal prep variant,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
18,Aussie Meal Prep,/go/aussie-meal-prep/,Australia,prepared meals,meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
19,Aussie Muscle Meals,/go/aussie-muscle-meals/,Australia,high protein meal prep,Australian fitness meal prep candidate for high-protein and gym meal searches,https://aussiemusclemeals.com.au/,direct partnership,Promote from candidate with route caveat,route_ready_affiliate_pending
20,Balance Box,/go/balance-box/,UK,diet prepared meals,UK healthy diet meal delivery and calorie-controlled meal plan brand,https://www.balancebox.com/,direct partnership,Add to UK diet prepared-meal pages,route_ready_affiliate_pending
21,Balance Meals,/go/balance-meals/,UK,prepared meals,meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
22,Balanced Bites,/go/balanced-bites/,US,frozen prepared meals,"US frozen paleo, keto, gluten-free, and real-food meal delivery brand shipping meal boxes nationwide",https://balancedbites.com/,direct partnership,Refresh official URL and add to specialty frozen meal pages,route_ready_affiliate_pending
23,Bargain Box,/go/bargain-box/,New Zealand; new-zealand,budget meal kit; meal kit,"New Zealand value family meal kit from the My Food Bag family, positioned around affordable recipes; budget national meal kit",https://www.bargainbox.co.nz/,needs_research,Research affiliate or direct partner contact.,route_ready_affiliate_pending
24,Be Fit Food,/go/be-fit-food/,Australia,diet prepared meals,Australian dietitian-designed weight-loss and health meal delivery brand,https://befitfood.com.au/,direct partnership,Add to AU diet and weight-loss comparisons,route_ready_affiliate_pending
25,bistroMD,/go/bistromd/,US,diet prepared meals,dietitian-designed chef-prepared weight-loss and wellness meal delivery with specialized programs,https://www.bistromd.com/,affiliate application,"Add to US diet, weight-loss, diabetic, and high-protein pages",route_ready_affiliate_pending
26,Blue Apron,/go/blue-apron/,US,meal kit,"US mainstream meal-kit brand with recipes, pre-portioned ingredients, and broad comparison demand",https://www.blueapron.com/,affiliate application,Promote from missing-priority to active route-ready coverage,route_ready_affiliate_pending
27,Body Chief,/go/body-chief/,Poland,diet prepared meals,Polish boxed diet catering brand with prepared meal-plan delivery demand,https://bodychief.pl/,direct partnership,Add to Poland diet prepared meal pages,route_ready_affiliate_pending
28,BodyChef Ireland,/go/bodychef-ireland/,Ireland,diet prepared meals,Irish meal plan and diet meal delivery candidate for healthy eating and weight management,https://bodychef.ie/,direct partnership,Add to Ireland diet prepared meal pages,route_ready_affiliate_pending
29,Bofrost,/go/bofrost/,germany,frozen meals,"German frozen food delivery brand with ready meals, family dinners, and frozen convenience demand",https://www.bofrost.de/,affiliate application,Add to Germany frozen meal delivery and family dinner pages,route_ready_affiliate_pending
30,BOL Foods,/go/bol-foods/,UK,ready meals,retail ready meals adjacent,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
31,Bondi Meal Prep,/go/bondi-meal-prep/,Australia,prepared meals,regional meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
32,Brisbane Meal Prep,/go/brisbane-meal-prep/,Australia,prepared meals,regional meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
33,ButcherBox,/go/butcherbox/,US,protein box,meat and seafood subscription box for freezer and dinner-protein planning,https://www.butcherbox.com/,affiliate application,"Promote from candidate as protein-box adjacent, not full meal delivery",route_ready_affiliate_pending
34,Cali-Mex,/go/cali-mex/,Hong Kong,prepared meals,Hong Kong meal delivery and ready-food candidate for international dinner convenience searches,https://www.cali-mex.com/,direct partnership,Add to Hong Kong international prepared meal challenger pages,route_ready_affiliate_pending
35,Calo,/go/calo/,uae,prepared meals,Personalized daily fresh meal-plan app active in UAE and wider GCC,https://calo.app/en,direct partnership,Add as app-led UAE/GCC comparison target,route_ready_affiliate_pending
36,Calori,/go/calori/,finland,prepared meals,Finland meal-plan service cooking and delivering nutritious meals,https://calori.fi/,direct partnership,Lead Finland prepared-meals comparison and direct partnership outreach,route_ready_affiliate_pending
37,Catered Fit,/go/catered-fit/,US,prepared meals,healthy meal plan delivery service with prepared meals and South Florida/selected delivery areas,https://www.cateredfit.com/,direct partnership,Add to regional prepared meal and diet meal pages,route_ready_affiliate_pending
38,Cerebelly,/go/cerebelly/,US,kids and baby meals,brain-supporting baby and toddler pouch brand with subscription and retail availability,https://cerebelly.com/,affiliate application,Promote from candidate to baby and toddler food pages,route_ready_affiliate_pending
39,Charlie Bigham's,/go/charlie-bigham-s/,UK,premium ready meals,"premium UK ready-meal brand with oven-ready curries, pies, fish dishes, and restaurant-at-home demand",https://www.charliebighams.com/,retail affiliate,Promote from candidate to UK premium ready-meal pages,route_ready_affiliate_pending
40,Chef Made Meals Australia,/go/chef-made-meals-australia/,Australia,prepared meals,prepared meals candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
41,Chef Meals Australia,/go/chef-meals-australia/,Australia,prepared meals,prepared meals,,possible,Verify official URL and active status,route_ready_affiliate_pending
42,Chefgood,/go/chefgood/,Australia,prepared meals,Australian healthy ready meals with prepared-meal subscription demand,https://chefgood.com.au/,direct partnership,Use as AU healthy prepared-meal challenger,route_ready_affiliate_pending
43,ChefPrep,/go/chefprep/,Australia,prepared meals,Australian chef-made prepared meal marketplace with fresh ready meals delivered,https://chefprep.com.au/,direct partnership,Add to AU chef-prepared meal marketplace pages,route_ready_affiliate_pending
44,Chefs for Foodies,/go/chefs-for-foodies/,UK,chef-led kits,chef-led meal kit,https://chefsforfoodies.com/,possible,Track for long-tail UK pages,route_ready_affiliate_pending
45,Chefs Plate,/go/chefs-plate/,Canada,meal kit,budget Canadian meal-kit brand with broad national meal-kit demand and affiliate potential,https://www.chefsplate.com/,yes,Promote to Canada P0 and compare against HelloFresh Canada,route_ready_affiliate_pending
46,Clean Creations,/go/clean-creations/,US,prepared meals,regional prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
47,Clean Cut Meals,/go/clean-cut-meals/,Ireland,high protein meal prep,Ireland healthy ready-made meal prep brand with nationwide delivery and gym/lifestyle demand,https://cleancutmeals.ie/,direct partnership,Add to Ireland high-protein and healthy meal-prep pages,route_ready_affiliate_pending
48,Clean Eats Ireland,/go/clean-eats-ireland/,Ireland,prepared meals,meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
49,Clean Eatz Kitchen,/go/clean-eatz-kitchen/,US,prepared meals,macro-friendly prepared meals with no-subscription boxes and continental US shipping,https://www.cleaneatzkitchen.com/,direct partnership,Promote to US value prepared-meal and GLP-1 support comparisons,route_ready_affiliate_pending
50,Comme J'aime,/go/comme-j-aime/,france,diet prepared meals,French weight-loss meal program with prepared meals and structured diet plan demand,https://www.commejaime.fr/,affiliate application,Add to France diet meal delivery comparisons,route_ready_affiliate_pending
51,COOK,/go/cook/,UK,frozen meals,UK frozen prepared meals and family dinner delivery/collection brand,https://www.cookfood.net/,affiliate application,Add to UK family frozen-meal comparisons,route_ready_affiliate_pending
52,Cook it,/go/cook-it/,Canada,meal kit,Quebec and Canada meal-kit brand with recipe boxes and prepared dinner relevance,https://www.chefcookit.com/,direct partnership,Add to Quebec and Canada meal-kit comparisons,route_ready_affiliate_pending
53,Cook My Grub,/go/cook-my-grub/,UK,prepared meals,UK home-style Indian meal delivery marketplace candidate with local cooked meal demand,https://www.cookmygrub.com/,direct partnership,Add to UK ethnic/home-style prepared meal challenger pages,route_ready_affiliate_pending
54,CookUnity,/go/cookunity/,US,prepared meals,chef-made prepared meals,https://www.cookunity.com/,yes,Keep as chef-prepared P0 and ZIP-dependent check,route_ready_affiliate_pending
55,CookUnity Canada,/go/cookunity-canada/,Canada,prepared meals,chef-made prepared meals route for Canada; verify postal-code coverage before strong ranking claims,https://www.cookunity.com/en-ca,affiliate application,Promote from missing priority to route-ready Canadian prepared meal coverage,route_ready_affiliate_pending
56,Core Powerfoods,/go/core-powerfoods/,Australia,high protein prepared meals,Australian frozen high-protein ready meals with fitness and supermarket/freezer demand,https://corepowerfoods.com/,direct partnership,Add to AU high-protein frozen meal pages,route_ready_affiliate_pending
57,Cork Meal Prep,/go/cork-meal-prep/,Ireland,prepared meals,regional meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
58,Cortilia,/go/cortilia/,Italy,grocery dinner delivery,Italian online grocery and fresh food delivery brand with meal-planning relevance,https://www.cortilia.it/,affiliate application,Add to Italy grocery-dinner pages,route_ready_affiliate_pending
59,DabbaDrop,/go/dabbadrop/,UK,plant-based prepared meals,London plant-based Indian tiffin delivery with reusable steel dabbas and fresh ready-to-heat meals,https://dabbadrop.co.uk/,direct partnership,Promote to UK plant-based prepared meals and London local dinner pages,route_ready_affiliate_pending
60,Daily Harvest,/go/daily-harvest/,US,frozen plant-based meals,"frozen plant-based smoothies, bowls, soups, and no-prep meal delivery",https://www.daily-harvest.com/,affiliate application,Add to US frozen vegan and smoothie meal pages,route_ready_affiliate_pending
61,Delidoor,/go/delidoor/,Australia,frozen prepared meals,Australian French-inspired frozen ready meal delivery brand with family dinner and freezer stock-up demand,https://delidoor.com.au/,direct partnership,Add to AU frozen prepared meal pages,route_ready_affiliate_pending
62,Detox Kitchen,/go/detox-kitchen/,UK,prepared meals,UK healthy prepared meal delivery and meal plan brand with wellness positioning,https://detoxkitchen.co.uk/,direct partnership,Add to wellness and healthy prepared-meal comparisons,route_ready_affiliate_pending
63,Diet-to-Go,/go/diet-to-go/,US,diet prepared meals,diet prepared meal delivery brand for weight-loss and structured plans,https://www.diettogo.com/,affiliate application,Add to US diet meal delivery and weight-loss comparisons,route_ready_affiliate_pending
64,Dietbon,/go/dietbon/,france,diet prepared meals,French diet meal delivery program with weight-loss prepared meals and coaching angle,https://www.dietbon.fr/,affiliate application,Add to France diet prepared-meal and weight-loss pages,route_ready_affiliate_pending
65,Dietlicious,/go/dietlicious/,Australia,diet prepared meals,Australian healthy prepared meals and diet meal delivery brand,https://dietlicious.com.au/,direct partnership,Add to AU diet prepared-meal pages,route_ready_affiliate_pending
66,Dineamic,/go/dineamic/,Australia,prepared meals,Australian prepared ready-meal brand with chef-made family and healthy dinner range,https://www.dineamic.com.au/,direct partnership,Add to AU family and prepared-meal comparisons,route_ready_affiliate_pending
67,Dinner Twist,/go/dinner-twist/,Australia,meal kit,meal kit,https://dinnertwist.com.au/,possible,Add WA/regional meal-kit tracker,route_ready_affiliate_pending
68,Dinnerly,/go/dinnerly/,Global; US,budget meal kit,cheap meal kit; multi-market budget meal kit,https://dinnerly.com/,yes,Expand budget meal-kit coverage and Marley Spoon parent angle,route_ready_affiliate_pending
69,Dinnerly Australia,/go/dinnerly-australia/,Australia,budget meal kit,budget meal kit,https://dinnerly.com.au/,likely,Add AU budget page,route_ready_affiliate_pending
70,Dishpatch,/go/dishpatch/,UK,restaurant meal kits,UK restaurant meal-kit and finish-at-home dinner delivery brand,https://dishpatch.co.uk/,affiliate application,Add to UK restaurant meal-kit and premium dinner pages,route_ready_affiliate_pending
71,DropChef,/go/dropchef/,Ireland,meal kit and prepared meals,Ireland meal-kit brand with pre-portioned recipe boxes plus prepared Made Fresh options,https://dropchef.com/,affiliate application,Promote to Ireland meal-kit and prepared meal pages,route_ready_affiliate_pending
72,Dublin Meat Company Ready Meals,/go/dublin-meat-company-ready-meals/,Ireland,prepared meals,ready meals adjacent,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
73,Easy Platter,/go/easy-platter/,Canada,meal kit,meal kit,https://easyplatter.com/,possible,Add Canadian meal-kit tracker,route_ready_affiliate_pending
74,Eat Clean Bro,/go/eat-clean-bro/,US,prepared meals,fresh prepared meal prep brand with athlete/high-protein search demand,https://eatcleanbro.com/,direct partnership,"Verify exact delivery footprint, then add to high-protein comparisons",route_ready_affiliate_pending
75,Eat Clean Meal Prep UK,/go/eat-clean-meal-prep-uk/,UK,prepared meals,meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
76,EatFit,/go/eatfit/,india,healthy meal delivery,India healthy food and meal delivery brand with broad consumer demand and app-led ordering,https://www.eatfit.in/,direct partnership,Add as India mainstream healthy meal delivery anchor,route_ready_affiliate_pending
77,Eatto,/go/eatto/,Ireland,frozen prepared meals,Irish frozen prepared meal delivery brand with convenient ready meals and family dinner relevance,https://eatto.ie/,direct partnership,Promote to Ireland frozen prepared meal pages,route_ready_affiliate_pending
78,Epicured,/go/epicured/,US,medical diet meals,low-FODMAP and gluten-free fresh meal delivery for digestive health,https://www.epicured.com/,direct partnership,Use as medical/specialist diet meal anchor,route_ready_affiliate_pending
79,EveryPlate,/go/everyplate/,Global; US,budget meal kit,cheap meal kit; multi-market budget meal kit,https://www.everyplate.com/,yes,Expand cheap meal delivery and EveryPlate vs Dinnerly,route_ready_affiliate_pending
80,EveryPlate Australia,/go/everyplate-australia/,Australia,budget meal kit,budget meal kit,https://www.everyplate.com.au/,likely,Add AU cheap meal kit page,route_ready_affiliate_pending
81,Evolve Paleo Chef,/go/evolve-paleo-chef/,US,specialty prepared meals,paleo prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
82,Factor,/go/factor/,Germany; Global; Netherlands; US; belgium; sweden,prepared meals,Ready-made meal delivery brand active in Sweden; Ready-to-eat Factor meals available in Flanders according to HelloFresh Group expansion evidence; fresh ready-to-eat prepared meals; multi-market prepared meals; no-cook prepared meals; ready-to-heat high-protein meals,https://www.factor75.com/,yes,Keep as prepared-meal P0 and apply once live domain exists,route_ready_affiliate_pending
83,Factor Canada,/go/factor-canada/,Canada,prepared meals,ready-to-eat Factor meal delivery available in Canada with prepared meals and high-protein demand,https://www.factor75.com/pages/canada,yes,Add to Canada Factor prepared meal comparisons,route_ready_affiliate_pending
84,Field Doctor,/go/field-doctor/,UK,frozen diet prepared meals,"UK dietitian-designed frozen healthy ready meals with high-protein, low-FODMAP, gluten-free, and health ranges",https://www.fielddoctor.co.uk/,affiliate application,"Add to UK diet, frozen, and health-specific meal pages",route_ready_affiliate_pending
85,Fit Foods Ireland,/go/fit-foods-ireland/,Ireland,prepared meals,fitness meal prep,https://fitfoodsforlife.com/,possible,Confirm delivery/order path and affiliate program before recommendation.,route_ready_affiliate_pending
86,Fit Fuel UK,/go/fit-fuel-uk/,UK,prepared meals,fitness meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
87,Fit Kitchen Canada,/go/fit-kitchen-canada/,Canada,prepared meals,Canadian prepared meal delivery brand with fitness and healthy eating demand,https://fitkitchen.ca/,direct partnership,Promote to Canada prepared and fitness meal pages,route_ready_affiliate_pending
88,Fit Kitchen UK,/go/fit-kitchen-uk/,UK,prepared meals,fitness meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
89,FitChef,/go/fitchef/,south-africa,prepared meals,"South African healthy ready-to-eat meals, smoothies, snacks, and meal-plan kits",https://orders.fitchef.co.za/customer/menu/meals,direct partnership,Lead South Africa prepared-meal comparison and outreach,route_ready_affiliate_pending
90,Fitlife Foods,/go/fitlife-foods/,US,prepared meals,healthy prepared meal pickup and delivery brand with Florida and Georgia footprint,https://eatfitlifefoods.com/,direct partnership,Promote from candidate with regional availability caveat,route_ready_affiliate_pending
91,FlexPro Meals,/go/flexpro-meals/,US,fitness prepared meals,high-protein fitness meal prep with shipped prepared meals,https://www.flexpromeals.com/,direct partnership,Use for US gym and bulk meal-prep pages,route_ready_affiliate_pending
92,Food Darzee,/go/food-darzee/,india,diet prepared meals,"Indian subscription meal service for keto, low-carb high-protein, vegan, and balanced diet plans",https://fooddarzee.com/,direct partnership,Lead India healthy meal-plan comparison and outreach,route_ready_affiliate_pending
93,Foodbag,/go/foodbag/,belgium,meal kit and ready meals,"Belgian meal box with local ingredients, no-subscription ordering, and ready-made options",https://www.foodbag.be/,direct partnership,Position as local Belgium alternative to HelloFresh and Marley Spoon,route_ready_affiliate_pending
94,FoodSt,/go/foodst/,Australia,prepared meals,homemade-style prepared meals,https://foodst.com.au/,possible,Add prepared meals alternative,route_ready_affiliate_pending
95,Fresh Fitness Food,/go/fresh-fitness-food/,UK,prepared meals,UK bespoke nutrition and ready-to-eat meal delivery brand now moved under Calo,https://www.freshfitnessfood.com/,not ready,Use for alternatives and migration context; route active users to Calo UK,route_ready_affiliate_pending
96,Fresh Meal Plan,/go/fresh-meal-plan/,US,prepared meals,US chef-crafted fresh prepared meals ready in about three minutes with dietitian-approved positioning,https://freshmealplan.com/,affiliate application,Add to US fresh prepared meal challenger pages,route_ready_affiliate_pending
97,Fresh N Lean,/go/fresh-n-lean/,US,prepared meals,formerly major prepared meal delivery brand that ceased operations; important for alternatives pages and competitor search demand,https://www.freshnlean.com/,not ready,"Create alternatives angle, do not recommend as active",route_ready_affiliate_pending
98,Fresh n' Fit Cuisine,/go/fresh-n-fit-cuisine/,US,prepared meals,Atlanta and Southeast healthy chef-prepared meal delivery brand with recurring and a la carte meal plans; healthy prepared meals,https://www.freshnfitcuisine.com/,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
99,Fresh Prep,/go/fresh-prep/,Canada,meal kit and prepared meals,Canadian meal-kit and prepared-meal brand with Western Canada demand,https://www.freshprep.ca/,affiliate application,Promote to Canada meal-kit and prepared-meal comparisons,route_ready_affiliate_pending
100,Freshly,/go/freshly/,US,prepared meals,legacy prepared meals,,no,Track only as inactive/legacy competitor context,route_ready_affiliate_pending
101,Freshly Prepared UK,/go/freshly-prepared-uk/,UK,prepared meals,prepared meal candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
102,FreshlyFit,/go/freshlyfit/,US,prepared meals,verify inactive/legacy status,,no,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
103,Freshology,/go/freshology/,US,diet prepared meals,diet meal delivery route associated with Diet-to-Go/Freshology brand family,https://www.diettogo.com/,affiliate application,Account for Freshology search demand without duplicate claims,route_ready_affiliate_pending
104,Frive,/go/frive/,UK,prepared meals,UK fresh prepared meal brand formerly known as Lions Prep with health and performance meal delivery demand,https://www.frive.co.uk/,affiliate application,Add as UK premium prepared-meal anchor,route_ready_affiliate_pending
105,Frozen For You,/go/frozen-for-you/,south-africa,frozen meals,South African frozen home-style meal delivery brand with prepared family meals and convenience demand,https://www.frozenforyou.co.za/,direct partnership,Add to South Africa frozen and family prepared-meal pages,route_ready_affiliate_pending
106,Fuel Food Ireland,/go/fuel-food-ireland/,Ireland,prepared meals,fitness meal prep,,possible,Verify official URL and active status,route_ready_affiliate_pending
107,Fuel Hub,/go/fuel-hub/,UK,high protein prepared meals,UK high-protein calorie-controlled prepared meal delivery with fresh meals ready in minutes,https://fuelhub.co.uk/,direct partnership,Promote to UK high-protein prepared meal pages,route_ready_affiliate_pending
108,Fuel Meals,/go/fuel-meals/,US,high protein meal prep,fitness meal prep delivery with high-protein prepared meals and athletic positioning,https://www.fuelmeals.com/,direct partnership,Add to athlete and high-protein comparison sets,route_ready_affiliate_pending
109,Fuel Station,/go/fuel-station/,UK,prepared meals,prepared meals candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
110,Garden of Vegan,/go/garden-of-vegan/,Australia,plant-based prepared meals,Australian organic plant-based prepared meal delivery brand,https://gardenofvegan.com.au/,direct partnership,Add to AU vegan prepared meal pages,route_ready_affiliate_pending
111,Gobble,/go/gobble/,US,fast-prep meal kit,"15-minute meal kit with freshly prepped ingredients, flexible plans, classic, lean and clean, and vegetarian routes",https://www.gobble.com/,affiliate application,Promote to US fast-prep meal-kit anchor and compare against Home Chef and Blue Apron,route_ready_affiliate_pending
112,Godtlevert,/go/godtlevert/,norway,meal kit,Major Norwegian meal-kit and grocery add-on provider,https://www.godtlevert.no/,direct partnership,Position as Norway incumbent and partnership target,route_ready_affiliate_pending
113,Goldbelly Meal Kits,/go/goldbelly-meal-kits/,US,restaurant meal kits,"restaurant meal kits, prepared food shipments, and iconic regional food delivery marketplace",https://www.goldbelly.com/meal-kits,affiliate application,Promote from candidate to restaurant meal-kit pages,route_ready_affiliate_pending
114,Goodfood,/go/goodfood/,Canada,meal kit,Canadian meal kit and grocery-dinner brand with recipe boxes and national consumer awareness,https://www.makegoodfood.ca/,affiliate application,Promote to Canada P0 with business-status freshness checks,route_ready_affiliate_pending
115,Gourmet Fuel,/go/gourmet-fuel/,Ireland,prepared meals,"Irish fresh healthy meal plan and prepared meal delivery brand for fitness, weight loss, and convenience",https://gourmetfuel.com/,direct partnership,Promote to Ireland meal-plan and high-protein pages,route_ready_affiliate_pending
116,Gourmet Meals,/go/gourmet-meals/,Australia,prepared meals,frozen prepared meals,https://www.gourmetmeals.com.au/,possible,Add seniors/frozen meals AU,route_ready_affiliate_pending
117,Gousto,/go/gousto/,UK,meal kit,UK recipe box,https://www.gousto.co.uk/,yes,Keep as UK anchor,route_ready_affiliate_pending
118,Grain,/go/grain/,singapore,prepared meals,Singapore on-demand healthy meal delivery with rotating weekly dishes,https://grain.com.sg/eat,direct partnership,Add as Singapore convenience and office-lunch angle,route_ready_affiliate_pending
119,Green Chef,/go/green-chef/,Global; US,healthy meal kit; meal kit,healthy diet meal kit; multi-market healthy meal kit,https://www.greenchef.com/,yes,"Use for keto, gluten-free, healthy meal-kit pages",route_ready_affiliate_pending
120,Green Chef UK,/go/green-chef-uk/,UK,meal kit,"healthy diet-focused UK meal kit for keto, balanced, vegetarian, and lower-carb recipe-box demand",https://www.greenchef.co.uk/,yes,Add to UK healthy and diet meal-kit pages,route_ready_affiliate_pending
121,Grubby,/go/grubby/,UK,vegan meal kit,UK plant-based recipe kit and vegan meal-kit delivery brand,https://grubby.co.uk/,affiliate application,Add to UK vegan meal-kit comparisons,route_ready_affiliate_pending
122,Gusto Organic,/go/gusto-organic/,UK,prepared meals,verify brand fit,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
123,Gym Food UK,/go/gym-food-uk/,UK,prepared meals,fitness meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
124,Healthy Kitchen Ireland,/go/healthy-kitchen-ireland/,Ireland,prepared meals,prepared meals candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
125,Healthy Meals Supreme,/go/healthy-meals-supreme/,US,prepared meals,regional prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
126,Heart to Home Meals Canada,/go/heart-to-home-meals-canada/,Canada,prepared meals,senior prepared meals,https://www.hearttohomemeals.ca/,possible,Add senior meal delivery Canada,route_ready_affiliate_pending
127,HelloFresh,/go/hellofresh/,France; Germany; Global; Netherlands; New Zealand; US; austria; belgium; denmark; new-zealand; norway; sweden; switzerland,meal kit,Austria meal-kit subscription with recipes and nationwide delivery; Large Belgium meal-kit subscription with weekly recipes and home delivery; Large Danish meal-kit subscription with weekly recipes; Large Norwegian meal-kit subscription with weekly recipes; Large Swedish meal-kit subscription with weekly recipes; Large Swiss cook-at-home box with fresh ingredients and weekly delivery; New Zealand HelloFresh meal-kit market with weekly recipe subscription; mainstream meal kit; major national meal kit; multi-market meal kit,https://www.hellofresh.com/,yes,"Keep as top global meal-kit page, deal page, review, and vs anchor",route_ready_affiliate_pending
