country,brand,category,priority,site_status,market_role,official_url,affiliate_program_target,evidence_status,next_action
US,MealPro,fitness prepared meals,P2,active,high-protein prepared meal delivery with custom macro and fitness meal positioning,https://www.mealpro.net/,direct partnership,official_source_checked_2026-06-24,Add to macro and fitness prepared meal pages
US,FlexPro Meals,fitness prepared meals,P1,active,high-protein fitness meal prep with shipped prepared meals,https://www.flexpromeals.com/,direct partnership,official_source_checked_2026-06-24,Use for US gym and bulk meal-prep pages
US,Clean Eatz Kitchen,prepared meals,P1,active,macro-friendly prepared meals with no-subscription boxes and continental US shipping,https://www.cleaneatzkitchen.com/,direct partnership,official_source_checked_2026-06-24,Promote to US value prepared-meal and GLP-1 support comparisons
US,ICON Meals,high protein meal prep,P2,active,custom and pre-made fitness meals with macro-focused checkout,https://iconmeals.com/,direct partnership,official_source_checked_2026-06-24,Add to custom meal-prep and bodybuilder pages
US,Snap Kitchen,prepared meals,P2,active_app_route,healthy chef-prepared meals with Texas demand and app/store ordering evidence,https://snapkitchen.com/,direct partnership after route check,app_and_social_source_checked_2026-06-24,Add with app-route and regional footprint caveat
US,Tovala,smart oven meal delivery,P2,active,smart oven plus fresh meal delivery system with scan-to-cook weekly meals and low-prep dinner demand,https://www.tovala.com/,affiliate application,official_and_recent_review_source_checked_2026-06-24,Add to appliance-assisted meal delivery and low-prep dinner pages
US,Magic Kitchen,frozen senior and special-diet meals,P1,active,"frozen prepared meals with senior, diabetic, renal, dialysis, low-carb, and complete-meal options",https://www.magickitchen.com/,affiliate application,official_source_checked_2026-06-24,"Add to seniors, frozen meals, and special-diet pages"
US,Mom's Meals,medically tailored meals,P1,active,"home-delivered medically tailored meals with diabetes, renal, heart-friendly, protein+, pureed, halal, kosher, produce, and pantry programs",https://www.momsmeals.com/,direct partnership,official_source_checked_2026-06-24,"Add to seniors, medically tailored meals, and food-as-medicine pages"
US,Silver Cuisine,prepared meals,P2,missing_priority,senior meals,https://www.silvercuisine.com/,possible,needs_official_check,Add senior meal delivery page
US,Little Spoon,kids and baby meals,P1,active,"fresh baby, toddler, and kids meal delivery with Babyblends, Biteables, Plates, Lunchers, snacks, and formula",https://www.littlespoon.com/,affiliate application,official_source_checked_2026-06-24,"Add to US kids meal delivery, toddler meals, and family pages"
US,Nurture Life,kids meals,P1,active,kids meal delivery service focused on ready-made meals and picky-eater family convenience,https://www.nurturelife.com/,affiliate application,official_source_checked_2026-06-24,Use as US kids meal delivery anchor
US,Tiny Organics,baby and toddler meals,P2,active,organic baby and toddler meals delivered to the door,https://www.tinyorganics.com/,direct partnership,official_source_checked_2026-06-24,Add to baby/toddler meal pages
US,Yumi,kids and toddler snacks,P3,active,healthy toddler and family snack brand with baby-food heritage,https://helloyumi.com/,direct partnership,official_source_checked_2026-06-24,Account for Yumi baby-food search demand with current snack positioning
US,Fresh N Lean,prepared meals,P2,ceased_operations,formerly major prepared meal delivery brand that ceased operations; important for alternatives pages and competitor search demand,https://www.freshnlean.com/,not ready,ceased_operations_source_checked_2026-06-24,"Create alternatives angle, do not recommend as active"
US,Freshly,prepared meals,blocked,inactive,legacy prepared meals,,no,known_inactive,Track only as inactive/legacy competitor context
US,Plated,meal kit,blocked,inactive,legacy meal kit,,no,known_inactive,Track only as inactive/legacy competitor context
US,Sunbasket,meal kit and prepared meals,P1,active,US healthy meal delivery brand with both heat-and-eat meals and cooking kits,https://sunbasket.com/,affiliate application,official_source_checked_2026-06-24,Promote from watchlist to active route-ready coverage
UK,HelloFresh UK,meal kit,P0,active_on_site_variant,mainstream meal kit,https://www.hellofresh.co.uk/,yes,needs_local_profile,Create UK-specific brand variant and offer check
UK,Gousto,meal kit,P0,active_on_site,UK recipe box,https://www.gousto.co.uk/,yes,ledger_verified,Keep as UK anchor
UK,Mindful Chef,meal kit,P0,active,healthy UK recipe box with 28 weekly chef-designed meals plus ready meal/smoothie extensions,https://www.mindfulchef.com/,affiliate application,official_source_checked_2026-06-24,Promote to UK healthy recipe-box anchor and compare against Gousto
UK,Green Chef UK,meal kit,P1,active,"healthy diet-focused UK meal kit for keto, balanced, vegetarian, and lower-carb recipe-box demand",https://www.greenchef.co.uk/,yes,official_source_checked_2026-06-24,Add to UK healthy and diet meal-kit pages
UK,SimplyCook,recipe kit,P1,active,low-cost UK recipe-kit and flavour-pot subscription for easy grocery-assisted dinners,https://www.simplycook.com/,affiliate application,official_source_checked_2026-06-24,Add to UK cheap recipe-kit and grocery-dinner pages
UK,Riverford,grocery dinner delivery,P1,active,UK organic veg box and recipe-box brand with dinner-planning relevance,https://www.riverford.co.uk/,affiliate application,official_source_checked_2026-06-24,Add to UK grocery-dinner and organic recipe-box pages
UK,Pasta Evangelists,fresh pasta meal kit,P1,active,fresh pasta kit and Italian meal delivery brand with strong UK consumer search demand,https://pastaevangelists.com/,affiliate application,official_source_checked_2026-06-24,Add to UK specialty meal-kit and pasta dinner pages
UK,The Cookaway,premium meal kit,P1,active,"UK premium meal-kit brand for occasion cooking, chef-led kits, and restaurant-at-home demand",https://www.thecookaway.com/,affiliate application,official_source_checked_2026-06-24,Promote from missing priority to active premium meal-kit coverage
UK,Nonna Tonda,fresh pasta subscription,P2,missing_priority,fresh pasta subscription,https://nonnatonda.co.uk/,possible,source_list_seen,Add pasta subscription alternative
UK,Chefs for Foodies,chef-led kits,P3,tracked,chef-led meal kit,https://chefsforfoodies.com/,possible,source_list_seen,Track for long-tail UK pages
UK,Frive,prepared meals,P1,active,UK fresh prepared meal brand formerly known as Lions Prep with health and performance meal delivery demand,https://www.frive.co.uk/,affiliate application,official_source_checked_2026-06-24,Add as UK premium prepared-meal anchor
UK,Lions Prep,prepared meals,P0,watchlist_rebranded,fitness prepared meals,https://www.frive.co.uk/lions-prep,likely,source_found_rebranded,Treat as Frive rebrand context rather than separate active recommendation.
UK,Prep Kitchen,high protein prepared meals,P0,active,UK high-protein chef-made meals delivered across the UK and ready in minutes,https://prepkitchen.co.uk/,affiliate application,official_source_checked_2026-06-24,Promote to UK high-protein prepared-meal anchor
UK,Tastily,prepared meals,P1,active_route_check,UK chef-prepared meal delivery candidate with healthy prepared meal demand,https://www.tastily.co.uk/,direct partnership,official_source_checked_2026-06-24,Promote from watchlist with ordering-path caveat
UK,Field Doctor,frozen diet prepared meals,P1,active,"UK dietitian-designed frozen healthy ready meals with high-protein, low-FODMAP, gluten-free, and health ranges",https://www.fielddoctor.co.uk/,affiliate application,official_source_checked_2026-06-24,"Add to UK diet, frozen, and health-specific meal pages"
UK,allplants,frozen plant-based meals,P2,active_route_check,UK plant-based frozen meal brand with strong residual search demand and route needing live checkout check,https://allplants.com/,affiliate application,official_source_checked_2026-06-24,Promote cautiously from watchlist with active-route caveat
UK,Planthood,plant-based meal kit,P1,active,chef-made plant-based whole-food meal kits delivered across the UK and finished at home in minutes,https://planthood.co.uk/,direct partnership,official_source_checked_2026-06-24,Promote to UK vegan and plant-based meal-kit pages
UK,Planty,frozen plant-based meals,P2,active,UK plant-based frozen prepared meals delivered for vegan and flexitarian dinners,https://planty.uk/,direct partnership,official_source_checked_2026-06-24,Use for UK vegan and frozen meal pages
UK,Detox Kitchen,prepared meals,P2,active,UK healthy prepared meal delivery and meal plan brand with wellness positioning,https://detoxkitchen.co.uk/,direct partnership,official_source_checked_2026-06-24,Add to wellness and healthy prepared-meal comparisons
UK,Fresh Fitness Food,prepared meals,P2,rebranded_to_calo,UK bespoke nutrition and ready-to-eat meal delivery brand now moved under Calo,https://www.freshfitnessfood.com/,not ready,rebrand_source_checked_2026-06-24,Use for alternatives and migration context; route active users to Calo UK
UK,Love Yourself,prepared meals,P2,missing_priority,diet meal plan,https://loveyourself.co.uk/,possible,needs_official_check,Add weight-loss meal prep UK
UK,Balance Box,diet prepared meals,P2,active,UK healthy diet meal delivery and calorie-controlled meal plan brand,https://www.balancebox.com/,direct partnership,official_source_checked_2026-06-24,Add to UK diet prepared-meal pages
UK,The Pure Package,diet prepared meals,P3,active,UK healthy meal delivery and diet plan brand with premium nutrition positioning,https://www.purepackage.com/,direct partnership,official_source_checked_2026-06-24,Add to UK diet prepared meal and premium wellness pages
UK,COOK,frozen meals,P1,active,UK frozen prepared meals and family dinner delivery/collection brand,https://www.cookfood.net/,affiliate application,official_source_checked_2026-06-24,Add to UK family frozen-meal comparisons
UK,Wiltshire Farm Foods,frozen meals,P1,active,UK frozen ready-meal delivery brand with older-adult and special-diet demand,https://www.wiltshirefarmfoods.com/,affiliate application,official_source_checked_2026-06-24,"Add to UK frozen, seniors, and special-diet comparisons"
UK,MuscleFood,meal prep and grocery,P1,active,"UK high-protein online food shop with meat, meals, FitPot/prepped pots, and goal-based ranges",https://www.musclefood.com/,affiliate application,official_source_checked_2026-06-24,Use as UK protein grocery and prepared-meal hybrid
UK,Fuel Hub,high protein prepared meals,P1,active,UK high-protein calorie-controlled prepared meal delivery with fresh meals ready in minutes,https://fuelhub.co.uk/,direct partnership,official_source_checked_2026-06-24,Promote to UK high-protein prepared meal pages
UK,KBK,prepared meals,P2,missing_priority,fitness prepared meals,https://kbk.co.uk/,possible,needs_official_check,Add UK meal prep tracker
UK,Simmer Eats,prepared meals,P2,active,UK prepared meal delivery candidate for healthy ready-meal comparisons,https://www.simmereats.com/,direct partnership,official_source_checked_2026-06-24,Verify menu/coverage and include as challenger
UK,The Good Prep,prepared meals,P1,active,UK premium macro-balanced chef-cooked ready-to-eat meal prep delivery,https://thegoodprep.com/,direct partnership,official_source_checked_2026-06-24,Promote to UK athlete and premium meal-prep comparisons
Ireland,DropChef,meal kit and prepared meals,P1,active,Ireland meal-kit brand with pre-portioned recipe boxes plus prepared Made Fresh options,https://dropchef.com/,affiliate application,official_and_review_source_checked_2026-06-24,Promote to Ireland meal-kit and prepared meal pages
Ireland,Clean Cut Meals,high protein meal prep,P1,active,Ireland healthy ready-made meal prep brand with nationwide delivery and gym/lifestyle demand,https://cleancutmeals.ie/,direct partnership,official_and_review_source_checked_2026-06-24,Add to Ireland high-protein and healthy meal-prep pages
Ireland,Gourmet Fuel,prepared meals,P0,active,"Irish fresh healthy meal plan and prepared meal delivery brand for fitness, weight loss, and convenience",https://gourmetfuel.com/,direct partnership,official_source_checked_2026-06-24,Promote to Ireland meal-plan and high-protein pages
Ireland,Eatto,frozen prepared meals,P1,active,Irish frozen prepared meal delivery brand with convenient ready meals and family dinner relevance,https://eatto.ie/,direct partnership,official_source_checked_2026-06-24,Promote to Ireland frozen prepared meal pages
Ireland,HelloFresh Ireland,meal kit,P1,tracked,meal kit,,possible,needs_availability_check,Verify Irish market availability and landing page
Ireland,Fit Foods Ireland,prepared meals,P1,tracked_source_found,fitness meal prep,https://fitfoodsforlife.com/,possible,official_source_found,Confirm delivery/order path and affiliate program before recommendation.
Ireland,LeanBox,prepared meals,P2,tracked,fitness meal prep,,possible,needs_official_check,Verify official URL and service area
Ireland,BodyChef Ireland,diet prepared meals,P2,active,Irish meal plan and diet meal delivery candidate for healthy eating and weight management,https://bodychef.ie/,direct partnership,official_source_checked_2026-06-24,Add to Ireland diet prepared meal pages
Ireland,NutriQuick,prepared meals,P3,active,Irish prepared meal delivery and healthy meal prep candidate,https://nutriquick.ie/,direct partnership,official_source_checked_2026-06-24,Add to Ireland prepared meal challenger pages
Ireland,The Good Food Co,prepared meals,P3,tracked,prepared meals,,possible,needs_official_check,Verify official URL and consumer delivery fit
Ireland,Fuel Food Ireland,prepared meals,P3,tracked,fitness meal prep,,possible,needs_official_check,Verify official URL and active status
Australia,HelloFresh Australia,meal kit,P0,active_on_site_variant,mainstream meal kit,https://www.hellofresh.com.au/,yes,needs_local_profile,Create AU-specific brand variant and consumer-law caution
Australia,Youfoodz,prepared meals,P0,active,"Australian ready-meal brand with prepared meals, snacks, and mainstream demand",https://www.youfoodz.com/,affiliate application,official_source_checked_2026-06-24,Keep as AU prepared-meal anchor
Australia,My Muscle Chef,fitness prepared meals,P0,active,Australian high-protein ready-made meals and fitness meal-prep anchor,https://www.mymusclechef.com/,affiliate application,official_source_checked_2026-06-24,Keep as AU high-protein anchor
Australia,Marley Spoon Australia,meal kit,P0,missing_priority,recipe-led meal kit,https://marleyspoon.com.au/,likely,source_list_seen,Add AU meal-kit comparison
Australia,Dinnerly Australia,budget meal kit,P1,missing_priority,budget meal kit,https://dinnerly.com.au/,likely,source_list_seen,Add AU budget page
Australia,EveryPlate Australia,budget meal kit,P1,missing_priority,budget meal kit,https://www.everyplate.com.au/,likely,source_list_seen,Add AU cheap meal kit page
Australia,Chefgood,prepared meals,P1,active,Australian healthy ready meals with prepared-meal subscription demand,https://chefgood.com.au/,direct partnership,official_source_checked_2026-06-24,Use as AU healthy prepared-meal challenger
Australia,Soulara,plant-based prepared meals,P1,active,Australian plant-based prepared meals and vegan meal delivery,https://www.soulara.com.au/,direct partnership,official_source_checked_2026-06-24,Use as AU vegan prepared-meal anchor
Australia,The Dinner Ladies,frozen family meals,P1,active,Australian frozen family meal delivery brand with ready-made dinners and entertaining food,https://www.dinnerladies.com.au/,direct partnership,official_source_checked_2026-06-24,Add to AU family frozen-meal pages
Australia,Nourish'd,prepared meals,P2,active,Australian fully prepared meal service referenced in current prepared meal delivery comparisons,https://nourishd.com.au/,direct partnership,official_and_review_source_checked_2026-06-24,Add to Australia prepared and healthy meal pages
Australia,Providoor,prepared meals,P3,active,Australian prepared meal and restaurant-at-home service with fully prepared meal positioning,https://providoor.com/,direct partnership,official_and_review_source_checked_2026-06-24,Add to Australia premium prepared dinner pages
Australia,THR1VE,prepared meals,P2,active,Australian healthy prepared meal and performance food brand with ready-meal and fitness demand,https://thrivemeals.com.au/,direct partnership,official_source_checked_2026-06-24,Add to AU healthy prepared meal pages
Australia,Pepper Leaf,meal kit,P2,missing_priority,meal kit,https://www.pepperleaf.com.au/,possible,source_list_seen,Add AU meal kit tracker
Australia,QuiteLike,meal kit,P2,missing_priority,meal kit,https://quitelike.com/,possible,source_list_seen,Add AU meal kit tracker
Australia,Dineamic,prepared meals,P2,active,Australian prepared ready-meal brand with chef-made family and healthy dinner range,https://www.dineamic.com.au/,direct partnership,official_source_checked_2026-06-24,Add to AU family and prepared-meal comparisons
Australia,Macros,macro prepared meals,P1,active,Australian macro-focused ready meals for fitness and calorie-controlled eating,https://www.macros.com.au/,direct partnership,official_source_checked_2026-06-24,Promote to AU macro and high-protein comparisons
Australia,Workout Meals,fitness prepared meals,P2,active,Australian high-protein and performance meal-prep delivery brand,https://workoutmeals.com.au/,direct partnership,official_source_checked_2026-06-24,Add to AU high-protein challenger comparisons
Australia,Be Fit Food,diet prepared meals,P2,active,Australian dietitian-designed weight-loss and health meal delivery brand,https://befitfood.com.au/,direct partnership,official_source_checked_2026-06-24,Add to AU diet and weight-loss comparisons
Australia,Lite n Easy,prepared meals,P1,missing_priority,diet and ready meals,https://www.liteneasy.com.au/,possible,needs_official_check,Add AU weight-loss and seniors angle
Australia,Dietlicious,diet prepared meals,P2,active,Australian healthy prepared meals and diet meal delivery brand,https://dietlicious.com.au/,direct partnership,official_source_checked_2026-06-24,Add to AU diet prepared-meal pages
Australia,Delidoor,frozen prepared meals,P2,active,Australian French-inspired frozen ready meal delivery brand with family dinner and freezer stock-up demand,https://delidoor.com.au/,direct partnership,official_source_checked_2026-06-24,Add to AU frozen prepared meal pages
Australia,A Life Plus,diet prepared meals,P3,active,Australian healthy diet meal delivery and prepared meal candidate,https://www.alifeplus.com.au/,direct partnership,official_source_checked_2026-06-24,Add to AU diet prepared meal challenger pages
Australia,Gourmet Meals,prepared meals,P2,missing_priority,frozen prepared meals,https://www.gourmetmeals.com.au/,possible,needs_official_check,Add seniors/frozen meals AU
Australia,Tucker Fresh,prepared meals,P3,tracked,prepared meals,https://tuckerfresh.com.au/,possible,needs_official_check,Verify direct meal delivery fit
Australia,FoodSt,prepared meals,P2,missing_priority,homemade-style prepared meals,https://foodst.com.au/,possible,needs_official_check,Add prepared meals alternative
Australia,Dinner Twist,meal kit,P2,missing_priority,meal kit,https://dinnertwist.com.au/,possible,needs_official_check,Add WA/regional meal-kit tracker
Australia,ChefPrep,prepared meals,P2,active,Australian chef-made prepared meal marketplace with fresh ready meals delivered,https://chefprep.com.au/,direct partnership,official_source_checked_2026-06-24,Add to AU chef-prepared meal marketplace pages
Australia,Garden of Vegan,plant-based prepared meals,P2,active,Australian organic plant-based prepared meal delivery brand,https://gardenofvegan.com.au/,direct partnership,official_source_checked_2026-06-24,Add to AU vegan prepared meal pages
Australia,Chef Meals Australia,prepared meals,P3,tracked,prepared meals,,possible,needs_official_check,Verify official URL and active status
Canada,HelloFresh Canada,meal kit,P0,active_on_site_variant,mainstream meal kit,https://www.hellofresh.ca/,yes,official_seen,Create Canada-specific brand variant
Canada,Factor Canada,prepared meals,P1,active,ready-to-eat Factor meal delivery available in Canada with prepared meals and high-protein demand,https://www.factor75.com/pages/canada,yes,official_source_checked_2026-06-24,Add to Canada Factor prepared meal comparisons
Canada,Chefs Plate,meal kit,P0,active,budget Canadian meal-kit brand with broad national meal-kit demand and affiliate potential,https://www.chefsplate.com/,yes,official_source_checked_2026-06-24,Promote to Canada P0 and compare against HelloFresh Canada
Canada,Goodfood,meal kit,P0,active,Canadian meal kit and grocery-dinner brand with recipe boxes and national consumer awareness,https://www.makegoodfood.ca/,affiliate application,official_source_checked_2026-06-24,Promote to Canada P0 with business-status freshness checks
Canada,Fresh Prep,meal kit and prepared meals,P1,active,Canadian meal-kit and prepared-meal brand with Western Canada demand,https://www.freshprep.ca/,affiliate application,official_source_checked_2026-06-24,Promote to Canada meal-kit and prepared-meal comparisons
Canada,Cook it,meal kit,P1,active,Quebec and Canada meal-kit brand with recipe boxes and prepared dinner relevance,https://www.chefcookit.com/,direct partnership,official_source_checked_2026-06-24,Add to Quebec and Canada meal-kit comparisons
Canada,WeCook,prepared meals,P1,active,ready-to-eat prepared meals in Canada with recurring menu and delivery positioning,https://www.wecookmeals.ca/en,direct partnership,official_source_checked_2026-06-24,Use as Canada prepared-meal anchor
Canada,CookUnity Canada,prepared meals,P1,active_postal_check,chef-made prepared meals route for Canada; verify postal-code coverage before strong ranking claims,https://www.cookunity.com/en-ca,affiliate application,official_source_checked_2026-06-24,Promote from missing priority to route-ready Canadian prepared meal coverage
Canada,LiveFit Foods,prepared meals,P1,active,"Canadian chef-prepared fresh meals with keto, muscle gain, vegan, and weight-loss journeys",https://livefitfood.ca/,direct partnership,official_source_checked_2026-06-24,Promote to Canada high-protein and diet prepared-meal pages
Canada,Power Kitchen,high protein meal prep,P1,active,Canadian macro-balanced prepared meal delivery with athlete partnership and chef-made performance meals,https://powerkitchen.ca/,direct partnership,official_source_checked_2026-06-24,Promote to Canada high-protein and athlete meal pages
Canada,Protein Chefs,high protein meal prep,P2,active,"Canada meal-prep delivery brand for macro, fitness, and high-protein goals",https://proteinchefs.com/,direct partnership,official_source_checked_2026-06-24,Add to Canada high-protein challenger comparisons
Canada,Spatula Foods,frozen meals,P2,active,Canadian frozen ready meal brand with heat-and-eat convenience demand,https://www.spatulafoods.com/,direct partnership,official_source_checked_2026-06-24,Promote to Canada frozen prepared meal pages
Canada,Easy Platter,meal kit,P2,missing_priority,meal kit,https://easyplatter.com/,possible,needs_official_check,Add Canadian meal-kit tracker
Canada,Heart to Home Meals Canada,prepared meals,P2,missing_priority,senior prepared meals,https://www.hearttohomemeals.ca/,possible,needs_official_check,Add senior meal delivery Canada
Canada,Inspired Go,prepared meals,P2,active,Canadian fresh meal and salad delivery brand with healthy lunch and prepared meal demand,https://inspiredgo.ca/,direct partnership,official_source_checked_2026-06-24,Promote to Canada healthy prepared meal pages
Canada,Yumba,prepared meals,P2,active,Canadian chef-prepared meal delivery brand for ready-to-eat meals and healthy dinner convenience,https://www.yumba.ca/,direct partnership,official_source_checked_2026-06-24,Add to Canada prepared meal challenger pages
Canada,Fit Kitchen Canada,prepared meals,P2,active,Canadian prepared meal delivery brand with fitness and healthy eating demand,https://fitkitchen.ca/,direct partnership,official_source_checked_2026-06-24,Promote to Canada prepared and fitness meal pages
Canada,Athletes Kitchen,high protein meal prep,P2,active,Canadian athlete-focused meal-prep delivery brand,https://athleteskitchen.ca/,direct partnership,official_source_checked_2026-06-24,Add to Canada fitness meal-prep pages
Global,Marley Spoon,meal kit,P3,brand_family_reference_only,multi-market meal kit,https://marleyspoon.com/,no,country_variant_required,"Use country-specific rows for recommendations, source checks, affiliate applications, and /go/ route decisions."
Global,Dinnerly,budget meal kit,P3,brand_family_reference_only,multi-market budget meal kit,https://dinnerly.com/,no,country_variant_required,"Use country-specific rows for recommendations, source checks, affiliate applications, and /go/ route decisions."
Global,EveryPlate,budget meal kit,P3,brand_family_reference_only,multi-market budget meal kit,https://www.everyplate.com/,no,country_variant_required,"Use country-specific rows for recommendations, source checks, affiliate applications, and /go/ route decisions."
Global,Green Chef,healthy meal kit,P3,brand_family_reference_only,multi-market healthy meal kit,https://www.greenchef.com/,no,country_variant_required,"Use country-specific rows for recommendations, source checks, affiliate applications, and /go/ route decisions."
Global,HelloFresh,meal kit,P3,brand_family_reference_only,multi-market meal kit,https://www.hellofresh.com/,no,country_variant_required,"Use country-specific rows for recommendations, source checks, affiliate applications, and /go/ route decisions."
Global,Factor,prepared meals,P3,brand_family_reference_only,multi-market prepared meals,https://www.factor75.com/,no,country_variant_required,"Use country-specific rows for recommendations, source checks, affiliate applications, and /go/ route decisions."
US,Fresh Meal Plan,prepared meals,P1,active,US chef-crafted fresh prepared meals ready in about three minutes with dietitian-approved positioning,https://freshmealplan.com/,affiliate application,official_source_checked_2026-06-24,Add to US fresh prepared meal challenger pages
US,Fuel Meals,high protein meal prep,P2,active,fitness meal prep delivery with high-protein prepared meals and athletic positioning,https://www.fuelmeals.com/,direct partnership,official_source_checked_2026-06-24,Add to athlete and high-protein comparison sets
US,Eat Clean Bro,prepared meals,P2,active,fresh prepared meal prep brand with athlete/high-protein search demand,https://eatcleanbro.com/,direct partnership,official_source_checked_2026-06-24,"Verify exact delivery footprint, then add to high-protein comparisons"
US,MegaFit Meals,high protein meal prep,P2,active,fitness prepared meals with high-protein and athlete-focused demand,https://megafitmeals.com/,direct partnership,official_source_checked_2026-06-24,Add to US high-protein challenger comparisons
