brand,review_url,tracked_go_url,countries,categories,official_urls,monetization_path,priority_score,status,next_action
Factor Canada,/reviews/factor-canada/,/go/factor-canada/,Canada,prepared meals,https://www.factor75.com/pages/canada,affiliate application,75,active,Add to Canada Factor prepared meal comparisons
Factor Meals Canada,/reviews/factor-meals-canada/,/go/factor-meals-canada/,Canada,prepared meals,https://www.factormeals.ca/,affiliate application,75,active,Add as Canada-specific Factor route distinct from old landing page
Green Chef UK,/reviews/green-chef-uk/,/go/green-chef-uk/,UK,meal kit,https://www.greenchef.co.uk/,affiliate application,75,active,Add to UK healthy and diet meal-kit pages
HelloFresh Denmark,/reviews/hellofresh-denmark/,/go/hellofresh-denmark/,Denmark,meal kit,https://www.hellofresh.dk/,affiliate application,75,active,Add Denmark-specific HelloFresh route for local comparison pages
HelloFresh Norway,/reviews/hellofresh-norway/,/go/hellofresh-norway/,Norway,meal kit,https://www.hellofresh.no/,affiliate application,75,active,Add Norway-specific HelloFresh route
Home Chef,/reviews/home-chef/,/go/home-chef/,US,meal kit,https://www.homechef.com/,affiliate application,75,active_on_site,Expand US comparison pages and affiliate application target
Tempo by Home Chef,/reviews/tempo-by-home-chef/,/go/tempo-by-home-chef/,US,prepared meals,https://www.homechef.com/tempo,affiliate application,75,active_brand_family,Add as Home Chef prepared-meal brand family route
28Ishrana,/reviews/28ishrana/,/go/28ishrana/,Serbia,diet prepared meals,https://28ishrana.rs/en/,direct partnership outreach,70,active_region_check,Add as Serbia/Belgrade diet meal delivery anchor
ACTIVeat,/reviews/activeat/,/go/activeat/,india,diet prepared meals,https://activeat.in/,direct partnership outreach,70,active,Add to India/Mumbai healthy diet meal pages
Allcook Kitchen,/reviews/allcook-kitchen/,/go/allcook-kitchen/,switzerland,prepared meals,https://allcook.ch/,direct partnership outreach,70,active,Add to Switzerland prepared-meals shortlist
AMGD,/reviews/amgd/,/go/amgd/,singapore,healthy meal delivery,https://www.amgdglobal.com/en-sg,direct partnership outreach,70,active,Add to Singapore halal and flexible meal-credit cluster
Athlete's Kitchen,/reviews/athlete-s-kitchen/,/go/athlete-s-kitchen/,Canada,high protein meal prep,https://athleteskitchen.ca/,direct partnership outreach,70,active,Promote to Canada regional high-protein meal prep pages
Bargain Box,/reviews/bargain-box/,/go/bargain-box/,New Zealand | new-zealand,budget meal kit | meal kit,https://www.bargainbox.co.nz/,direct partnership outreach,70,active,Add to New Zealand budget and family pages
Basiligo,/reviews/basiligo/,/go/basiligo/,UAE,diet prepared meals,https://basiligo.ae/,direct partnership outreach,70,active,Add to UAE clean-eating and diet meal-plan pages
Benefit Qatar,/reviews/benefit-qatar/,/go/benefit-qatar/,Qatar,diet prepared meals,https://benefit.qa/,direct partnership outreach,70,active,Add to Qatar prepared meal-plan pages
Body Chief,/reviews/body-chief/,/go/body-chief/,Poland,diet prepared meals,https://bodychief.pl/,direct partnership outreach,70,active,Add to Poland diet prepared meal pages
Bofrost,/reviews/bofrost/,/go/bofrost/,germany,frozen meals,https://www.bofrost.de/,direct partnership outreach,70,active,Add to Germany frozen meal delivery and family dinner pages
Calo Bahrain,/reviews/calo-bahrain/,/go/calo-bahrain/,Bahrain,prepared meals,https://calo.app/en-bh,direct partnership outreach,70,active_app_route,Add as Bahrain Calo local route
Calo Kuwait,/reviews/calo-kuwait/,/go/calo-kuwait/,Kuwait,prepared meals,https://calo.app/en-kw,direct partnership outreach,70,active,Add as Kuwait prepared meal-plan anchor
Calo Oman,/reviews/calo-oman/,/go/calo-oman/,Oman,prepared meals,https://calo.app/en,direct partnership outreach,70,active_app_route,Add to Oman prepared meal-plan alternatives with app-route caveat
Calo Qatar,/reviews/calo-qatar/,/go/calo-qatar/,Qatar,prepared meals,https://calo.app/en,direct partnership outreach,70,active_app_route,Add to Qatar prepared meal-plan comparisons
Calo Saudi Arabia,/reviews/calo-saudi-arabia/,/go/calo-saudi-arabia/,Saudi Arabia,prepared meals,https://calo.app/en,direct partnership outreach,70,active_app_route,Add to Saudi prepared meal-plan pages
Calo UK,/reviews/calo-uk/,/go/calo-uk/,UK,prepared meals,https://calo.app/en,direct partnership outreach,70,active,Add to UK healthy prepared-meal and Frive comparison pages
Chefgood,/reviews/chefgood/,/go/chefgood/,Australia,prepared meals,https://chefgood.com.au/,direct partnership outreach,70,active,Use as AU healthy prepared-meal challenger
Clean Cut Meals,/reviews/clean-cut-meals/,/go/clean-cut-meals/,Ireland,high protein meal prep,https://cleancutmeals.ie/,direct partnership outreach,70,active,Add to Ireland high-protein and healthy meal-prep pages
Clean Eatz Kitchen,/reviews/clean-eatz-kitchen/,/go/clean-eatz-kitchen/,US,prepared meals,https://www.cleaneatzkitchen.com/,direct partnership outreach,70,active,Promote to US value prepared-meal and GLP-1 support comparisons
Comme J'aime,/reviews/comme-j-aime/,/go/comme-j-aime/,france,diet prepared meals,https://www.commejaime.fr/,direct partnership outreach,70,active,Add to France diet meal delivery comparisons
Cook it,/reviews/cook-it/,/go/cook-it/,Canada,meal kit,https://www.chefcookit.com/,direct partnership outreach,70,active,Add to Quebec and Canada meal-kit comparisons
Daily Dish,/reviews/daily-dish/,/go/daily-dish/,south-africa,meal kit,https://www.facebook.com/dailydishforyou/,direct partnership outreach,70,active,Account for South Africa meal-kit search demand and verify current official site
Delicut,/reviews/delicut/,/go/delicut/,uae,prepared meals,https://delicut.ae/,direct partnership outreach,70,active,Use for UAE value and high-protein comparison angle
Diet Center,/reviews/diet-center/,/go/diet-center/,Saudi Arabia,diet prepared meals,https://dietcenter.com.sa/,direct partnership outreach,70,active,Add to Saudi Arabia diet meal pages
Diet Hub Egypt,/reviews/diet-hub-egypt/,/go/diet-hub-egypt/,Egypt,diet prepared meals,https://diethubegypt.com/,direct partnership outreach,70,active_app_route,Add to Egypt diet meal delivery pages
Diet to Door Egypt,/reviews/diet-to-door-egypt/,/go/diet-to-door-egypt/,Egypt,diet prepared meals,https://diettodoor.com/,direct partnership outreach,70,active,Add to Egypt weight-loss and diet prepared meal pages
Dietbon,/reviews/dietbon/,/go/dietbon/,france,diet prepared meals,https://www.dietbon.fr/,direct partnership outreach,70,active,Add to France diet prepared-meal and weight-loss pages
Dieture,/reviews/dieture/,/go/dieture/,Qatar,diet prepared meals,https://www.dieture.com/,direct partnership outreach,70,active,Add to Qatar diet meal delivery anchor pages
DinDins,/reviews/dindins/,/go/dindins/,spain,prepared meals,https://dindins.es/,direct partnership outreach,70,active,Build Spain prepared-meals comparison block
Dinnerbox,/reviews/dinnerbox/,/go/dinnerbox/,south-africa,meal kit,https://dinnerbox.co.za/,direct partnership outreach,70,active,Add to South Africa meal-kit challenger pages
DinnerMates,/reviews/dinnermates/,/go/dinnermates/,south-africa,meal kit,https://dinnermates.co.za/,direct partnership outreach,70,active,Verify checkout and add to South Africa meal-kit comparisons
Eatology,/reviews/eatology/,/go/eatology/,hong-kong,prepared meals,https://www.eatologyasia.com/,direct partnership outreach,70,active,Verify official content and add premium comparison angle
Eatology Hong Kong,/reviews/eatology-hong-kong/,/go/eatology-hong-kong/,Hong Kong,diet prepared meals,https://www.eatologyasia.com/,direct partnership outreach,70,active,Add to Hong Kong diet prepared meal pages
Eatsana,/reviews/eatsana/,/go/eatsana/,spain,prepared meals,https://eatsana.es/en,direct partnership outreach,70,active,Build prepared-meals review angle and partnership outreach
Eatto,/reviews/eatto/,/go/eatto/,Ireland,frozen prepared meals,https://eatto.ie/,direct partnership outreach,70,active,Promote to Ireland frozen prepared meal pages
Epicured,/reviews/epicured/,/go/epicured/,US,medical diet meals,https://www.epicured.com/,direct partnership outreach,70,active,Use as medical/specialist diet meal anchor
every,/reviews/every/,/go/every/,germany,frozen plant-based meals,https://every-foods.com/en,direct partnership outreach,70,active,"Add to vegan, frozen, and prepared-meal comparison sets"
Fed,/reviews/fed/,/go/fed/,Canada | New Zealand,prepared meals,https://www.fed.co.nz/,direct partnership outreach,70,active,Add to New Zealand prepared meal anchor set
Fit Food Way,/reviews/fit-food-way/,/go/fit-food-way/,Romania,diet prepared meals,https://fitfoodway.ro/,direct partnership outreach,70,active,Add to Romania diet catering and high-protein pages
Fit Panther,/reviews/fit-panther/,/go/fit-panther/,Bulgaria,diet prepared meals,https://fitpanther.bg/en/,direct partnership outreach,70,active,Add as Bulgaria healthy prepared-meal anchor
Fit2go Thailand,/reviews/fit2go-thailand/,/go/fit2go-thailand/,Thailand,high protein meal prep,https://fit2gothailand.com/,direct partnership outreach,70,active_region_check,Add as Thailand high-protein meal-prep anchor
FitFood Chile,/reviews/fitfood-chile/,/go/fitfood-chile/,Chile,diet prepared meals,https://fitfood.cl/,direct partnership outreach,70,active,Add as Chile diet meal delivery anchor
FitFood Manila,/reviews/fitfood-manila/,/go/fitfood-manila/,Philippines,diet prepared meals,https://fitfoodmanila.com/,direct partnership outreach,70,active_region_check,Add to Philippines diet and keto meal-plan pages
Fitfood NZ,/reviews/fitfood-nz/,/go/fitfood-nz/,New Zealand,prepared meals,https://www.fitfood.co.nz/,direct partnership outreach,70,active,Promote New Zealand Fitfood route if duplicate variant exists
Fitmeals,/reviews/fitmeals/,/go/fitmeals/,india,meal prep,https://www.fitmeals.co.in/,direct partnership outreach,70,active,Add to India fitness meal-plan comparison
Fittery,/reviews/fittery/,/go/fittery/,hong-kong,prepared meals,https://www.instagram.com/fitteryhk/,direct partnership outreach,70,active,Find official web ordering route and add to Hong Kong challenger list
FlexPro Meals,/reviews/flexpro-meals/,/go/flexpro-meals/,US,fitness prepared meals,https://www.flexpromeals.com/,direct partnership outreach,70,active,Use for US gym and bulk meal-prep pages
Food Revolution Hungary,/reviews/food-revolution-hungary/,/go/food-revolution-hungary/,Hungary,prepared meals,https://foodrevo.hu/en/,direct partnership outreach,70,active_region_check,Add as Hungary premium prepared meal anchor
Foorban,/reviews/foorban/,/go/foorban/,italy,prepared meals,https://www.foorban.com/,direct partnership outreach,70,active,Add to Italy prepared-meal and lunch comparison sets
Fresh Meal Prep Nigeria,/reviews/fresh-meal-prep-nigeria/,/go/fresh-meal-prep-nigeria/,Nigeria,high protein meal prep,https://thefreshmealprep.com/,direct partnership outreach,70,active,Add as Nigeria high-protein and healthy meal-prep anchor
Fresheasy,/reviews/fresheasy/,/go/fresheasy/,South Korea,meal kit,https://www.fresheasy.co.kr/,direct partnership outreach,70,active,Add to Korea meal-kit anchor pages
FreshMenu,/reviews/freshmenu/,/go/freshmenu/,India,prepared meals,https://play.google.com/store/apps/details?id=com.freshmenu,direct partnership outreach,70,active_app_route,Add to India prepared meal app pages with app-route caveat
Frizata,/reviews/frizata/,/go/frizata/,Argentina,frozen prepared meals,https://www.frizata.com/,direct partnership outreach,70,active,Add to Argentina frozen prepared meal and freezer meal pages
Frosta,/reviews/frosta/,/go/frosta/,germany,frozen meals,https://www.frosta.de/,direct partnership outreach,70,active,Add to Germany frozen dinner comparison pages
Fuel Hub,/reviews/fuel-hub/,/go/fuel-hub/,UK,high protein prepared meals,https://fuelhub.co.uk/,direct partnership outreach,70,active,Promote to UK high-protein prepared meal pages
Fuel Meals Vietnam,/reviews/fuel-meals-vietnam/,/go/fuel-meals-vietnam/,Vietnam,high protein meal prep,https://fuelmealsvn.com/,direct partnership outreach,70,active_region_check,Add as Vietnam/Da Nang macro meal-prep anchor
Fuel-Up by Kcal,/reviews/fuel-up-by-kcal/,/go/fuel-up-by-kcal/,uae,high protein meal prep,https://fuel-up.ae/,direct partnership outreach,70,active,Add to UAE athlete and high-protein comparison pages
FuelMe,/reviews/fuelme/,/go/fuelme/,finland,prepared meals,https://fuelme.fi/,direct partnership outreach,70,active,Add to Finland prepared-meals shortlist
getUP!,/reviews/getup/,/go/getup/,Peru,diet prepared meals,https://getup.com.pe/,direct partnership outreach,70,active_region_check,Add as Peru/Lima diet prepared meal anchor
Goodfood,/reviews/goodfood/,/go/goodfood/,Canada,meal kit,https://www.makegoodfood.ca/,direct partnership outreach,70,active,Promote to Canada P0 with business-status freshness checks
GourmetFuel,/reviews/gourmetfuel/,/go/gourmetfuel/,Ireland,prepared meals,https://gourmetfuel.com/,direct partnership outreach,70,active_route_check,Add with active checkout caveat
Healthie,/reviews/healthie/,/go/healthie/,india,healthy meal delivery,https://www.healthie.in/,direct partnership outreach,70,active,Verify current delivery cities and add to India healthy meal pages
Healthy Meals Cyprus,/reviews/healthy-meals-cyprus/,/go/healthy-meals-cyprus/,Cyprus,diet prepared meals,https://healthy-meals.com.cy/,direct partnership outreach,70,active_region_check,Add to Cyprus diet prepared-meal pages
HealthyBox Cyprus,/reviews/healthybox-cyprus/,/go/healthybox-cyprus/,Cyprus,diet prepared meals,https://healthybox.com.cy/,direct partnership outreach,70,active_region_check,Add as Cyprus healthy meal-plan anchor
HealthyFood Tallinn,/reviews/healthyfood-tallinn/,/go/healthyfood-tallinn/,Estonia,diet prepared meals,https://healthyfood.ee/,direct partnership outreach,70,active_region_check,Add as Estonia/Tallinn prepared meal anchor
Heart to Home Meals,/reviews/heart-to-home-meals/,/go/heart-to-home-meals/,Canada,frozen senior meals,https://www.hearttohomemeals.ca/,direct partnership outreach,70,active,Add to Canada senior and frozen meal pages
Hello Chef,/reviews/hello-chef/,/go/hello-chef/,UAE,meal kit,https://hellochef.me/,direct partnership outreach,70,active,Add to UAE meal-kit and easy dinner comparison pages
Honestly Foods,/reviews/honestly-foods/,/go/honestly-foods/,Bahrain,prepared meals,https://honestlybh.com/,direct partnership outreach,70,active,Add to Bahrain prepared meal pages
Hungryroot,/reviews/hungryroot/,/go/hungryroot/,US,grocery dinner delivery,https://www.hungryroot.com/,direct partnership outreach,70,active,Use as US grocery-dinner anchor
Jess's Underground Kitchen,/reviews/jess-s-underground-kitchen/,/go/jess-s-underground-kitchen/,New Zealand,frozen prepared meals,https://www.juk.co.nz/,direct partnership outreach,70,active,Add to New Zealand frozen prepared meal anchor pages
Juit,/reviews/juit/,/go/juit/,Germany,frozen prepared meals,https://www.juit.com/en,direct partnership outreach,70,active,Add to Germany frozen prepared meal and healthy ready-meal pages
Kcal Healthy Food,/reviews/kcal-healthy-food/,/go/kcal-healthy-food/,india,diet prepared meals,https://www.kcalindia.com/,direct partnership outreach,70,active,Verify active ordering and add to India diet meal comparison
Keto Eato,/reviews/keto-eato/,/go/keto-eato/,singapore,keto prepared meals,https://ketoeatosg.com/,direct partnership outreach,70,active,Add to Singapore keto and low-carb meal pages
Ketomei,/reviews/ketomei/,/go/ketomei/,singapore,keto prepared meals,https://www.facebook.com/KetomeiSG/,direct partnership outreach,70,active_social_route,Account for keto meal search demand and verify current checkout
Kuchnia Vikinga,/reviews/kuchnia-vikinga/,/go/kuchnia-vikinga/,Poland,diet prepared meals,https://kuchniavikinga.pl/,direct partnership outreach,70,active,Add to Poland boxed diet comparison pages
LifeBox,/reviews/lifebox/,/go/lifebox/,Romania,diet prepared meals,https://www.lifebox.ro/,direct partnership outreach,70,active,Add to Romania healthy meal subscription pages
LifeBox Romania,/reviews/lifebox-romania/,/go/lifebox-romania/,Romania,diet prepared meals,https://www.lifebox.ro/en/,direct partnership outreach,70,active,Add as Romania prepared meal delivery anchor
LightFork,/reviews/lightfork/,/go/lightfork/,Croatia,diet prepared meals,https://www.lightfork.hr/en/,direct partnership outreach,70,active_region_check,Add as Croatia diet prepared-meal anchor
LineUpFit,/reviews/lineupfit/,/go/lineupfit/,Kuwait,diet prepared meals,https://lineupfit.com/,direct partnership outreach,70,active,Add as Kuwait healthy meal-plan anchor
Liv Up,/reviews/liv-up/,/go/liv-up/,Brazil,frozen prepared meals,https://play.google.com/store/apps/details?id=br.com.livup.ecommerce,direct partnership outreach,70,active_app_route,Promote as Brazil frozen healthy meal anchor with app-route caveat
LiveFit Foods,/reviews/livefit-foods/,/go/livefit-foods/,Canada,prepared meals,https://livefitfood.ca/,direct partnership outreach,70,active,Promote to Canada high-protein and diet prepared-meal pages
Löwenanteil,/reviews/lowenanteil/,/go/lowenanteil/,germany | switzerland | austria,high protein prepared meals,https://www.loewenanteil.com/,direct partnership outreach,70,active,Add to high-protein prepared meal and fitness comparison sets
Macros,/reviews/macros/,/go/macros/,Australia,macro prepared meals,https://www.macros.com.au/,direct partnership outreach,70,active,Promote to AU macro and high-protein comparisons
Maczfit,/reviews/maczfit/,/go/maczfit/,Poland,diet prepared meals,https://play.google.com/store/apps/details?id=com.maczfit.app2,direct partnership outreach,70,active_app_route,Add to Poland diet catering and boxed meal pages
Manzana Verde,/reviews/manzana-verde/,/go/manzana-verde/,Mexico,diet prepared meals,https://play.google.com/store/apps/details?id=la.manzana_verde_app,direct partnership outreach,70,active_app_route,Add to Mexico healthy diet prepared meal pages with app-route caveat
Manzana Verde Mexico,/reviews/manzana-verde-mexico/,/go/manzana-verde-mexico/,Mexico,diet prepared meals,https://apps.apple.com/us/app/manzana-verde-healthy-food/id1542798197,direct partnership outreach,70,active_app_route,Add as Mexico diet meal plan challenger
Manzana Verde Peru,/reviews/manzana-verde-peru/,/go/manzana-verde-peru/,Peru,diet prepared meals,https://manzanaverde.la/peru,direct partnership outreach,70,active_app_route,Add as Peru diet meal delivery anchor
MealBox Morocco,/reviews/mealbox-morocco/,/go/mealbox-morocco/,Morocco,prepared meals,https://www.mealbox.ma/,direct partnership outreach,70,active_region_check,Add as Morocco prepared-meal anchor
Mealhero,/reviews/mealhero/,/go/mealhero/,netherlands,frozen prepared meals,https://www.mealhero.com/nl/,direct partnership outreach,70,active,Add to Netherlands frozen prepared-meal pages
MealPrep Baltic Latvia,/reviews/mealprep-baltic-latvia/,/go/mealprep-baltic-latvia/,Latvia,diet prepared meals,https://mealprep.global/,direct partnership outreach,70,active_region_check,Add as Latvia meal-prep anchor with Baltic-region caveat
MealPrep Baltic Lithuania,/reviews/mealprep-baltic-lithuania/,/go/mealprep-baltic-lithuania/,Lithuania,diet prepared meals,https://mealprep.global/,direct partnership outreach,70,active_region_check,Add as Lithuania meal-prep anchor with Baltic-region caveat
Meals in Minutes Malaysia,/reviews/meals-in-minutes-malaysia/,/go/meals-in-minutes-malaysia/,Malaysia,frozen prepared meals,https://mealsinminutes.co/,direct partnership outreach,70,active,Add as Malaysia frozen/prepped meal anchor
Meals on Me,/reviews/meals-on-me/,/go/meals-on-me/,uae,prepared meals,https://hellomealsonme.com/,direct partnership outreach,70,active,Add to UAE prepared-meal outreach queue
merciChef,/reviews/mercichef/,/go/mercichef/,switzerland,prepared meals,https://mercichef.ch/en,direct partnership outreach,70,active,Add to Switzerland prepared-meals shortlist
Metabolic Meals,/reviews/metabolic-meals/,/go/metabolic-meals/,US,prepared meals,https://mymetabolicmeals.com/,direct partnership outreach,70,active,Promote to US healthy prepared-meal and high-protein pages
Mi Piace Cosi,/reviews/mi-piace-cosi/,/go/mi-piace-cosi/,italy,diet prepared meals,https://mipiacecosi.it/,direct partnership outreach,70,active,Position in weight-loss and diet meal-plan comparison
Mindful Chef,/reviews/mindful-chef/,/go/mindful-chef/,UK,meal kit,https://www.mindfulchef.com/,direct partnership outreach,70,active,Promote to UK healthy recipe-box anchor and compare against Gousto
Mom's Meals,/reviews/mom-s-meals/,/go/mom-s-meals/,US,medically tailored meals,https://www.momsmeals.com/,direct partnership outreach,70,active,"Add to seniors, medically tailored meals, and food-as-medicine pages"
Mosaic Foods,/reviews/mosaic-foods/,/go/mosaic-foods/,US,frozen plant-based meals,https://www.mosaicfoods.com/,direct partnership outreach,70,active,"Add to frozen, vegan, and family prepared-meal pages"
Muscle Deli,/reviews/muscle-deli/,/go/muscle-deli/,Japan,high protein prepared meals,https://muscledeli.jp/,direct partnership outreach,70,active,Add to Japan high-protein and diet meal pages
My Food Bag,/reviews/my-food-bag/,/go/my-food-bag/,New Zealand | new-zealand,meal kit and prepared meals | meal kit,https://www.myfoodbag.co.nz/,direct partnership outreach,70,active,Research affiliate or direct partner path after domain is live.
My Muscle Chef,/reviews/my-muscle-chef/,/go/my-muscle-chef/,Australia,fitness prepared meals,https://www.mymusclechef.com/,direct partnership outreach,70,active,Keep as AU high-protein anchor
MyChef,/reviews/mychef/,/go/mychef/,South Korea,meal kit,https://www.mychef.kr/,direct partnership outreach,70,active,Add to Korea meal-kit comparisons
Natalie's Healthy Kitchen,/reviews/natalie-s-healthy-kitchen/,/go/natalie-s-healthy-kitchen/,Portugal,meal kit,https://www.natalieshealthykitchen.com/,direct partnership outreach,70,active_region_check,Use as Portugal meal-kit anchor with Lisbon/Cascais delivery-area caveat
Nice To Fit You,/reviews/nice-to-fit-you/,/go/nice-to-fit-you/,Poland,diet prepared meals,https://apps.apple.com/pl/app/ntfy-healthy-meal-delivery/id1246308752,direct partnership outreach,70,active_app_route,Add to Poland premium diet catering pages
nosh Japan,/reviews/nosh-japan/,/go/nosh-japan/,Japan,frozen prepared meals,https://nosh.jp/,direct partnership outreach,70,active,Add to Japan frozen prepared meal pages
Nourie,/reviews/nourie/,/go/nourie/,Nigeria,prepared meals,https://www.eatnourie.com/,direct partnership outreach,70,active_app_route,Add to Nigeria prepared meal and weekly meal-plan pages with app-route caveat
