"page_type","primary_keyword","url","country","meal_type","partner_brand","monetization_status","current_status","priority","next_action","notes"
"country","best meal delivery Global","https://www.everymealguide.com/countries/global/best-meal-delivery/","Global","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","36","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 9"
"country","best meal delivery belgium","https://www.everymealguide.com/countries/belgium/best-meal-delivery/","belgium","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","37","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 9"
"country","best meal delivery south-africa","https://www.everymealguide.com/countries/south-africa/best-meal-delivery/","south-africa","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","38","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 9"
"country","best meal delivery Czech Republic","https://www.everymealguide.com/countries/czech-republic/best-meal-delivery/","Czech Republic","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","39","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 8"
"country","best meal delivery Brazil","https://www.everymealguide.com/countries/brazil/best-meal-delivery/","Brazil","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","40","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 8"
"country","best meal delivery Philippines","https://www.everymealguide.com/countries/philippines/best-meal-delivery/","Philippines","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","41","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 8"
"country","best meal delivery Malaysia","https://www.everymealguide.com/countries/malaysia/best-meal-delivery/","Malaysia","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","42","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 8"
"country","best meal delivery Thailand","https://www.everymealguide.com/countries/thailand/best-meal-delivery/","Thailand","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","43","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 8"
"country","best meal delivery switzerland","https://www.everymealguide.com/countries/switzerland/best-meal-delivery/","switzerland","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","44","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 8"
"country","best meal delivery Kuwait","https://www.everymealguide.com/countries/kuwait/best-meal-delivery/","Kuwait","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","45","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 7"
"country","best meal delivery Poland","https://www.everymealguide.com/countries/poland/best-meal-delivery/","Poland","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","46","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 7"
"country","best meal delivery sweden","https://www.everymealguide.com/countries/sweden/best-meal-delivery/","sweden","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","47","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 7"
"country","best meal delivery South Korea","https://www.everymealguide.com/countries/south-korea/best-meal-delivery/","South Korea","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","48","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 7"
"country","best meal delivery Europe","https://www.everymealguide.com/countries/europe/best-meal-delivery/","Europe","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","49","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 7"
"review","Aarstiderne review","https://www.everymealguide.com/reviews/aarstiderne/","denmark","meal-kit","Aarstiderne","affiliate-target","needs source-backed review polish","60","Add who-it-fits verdict, current offer source note, alternatives, comparison links, and /go/ CTA.","Source category: organic meal kit"
"review","Bargain Box review","https://www.everymealguide.com/reviews/bargain-box/","new-zealand","meal-kit","Bargain Box","affiliate-target","needs source-backed review polish","61","Add who-it-fits verdict, current offer source note, alternatives, comparison links, and /go/ CTA.","Source category: meal kit"
"review","Bofrost review","https://www.everymealguide.com/reviews/bofrost/","germany","prepared","Bofrost","affiliate-target","needs source-backed review polish","62","Add who-it-fits verdict, current offer source note, alternatives, comparison links, and /go/ CTA.","Source category: frozen meals"
"review","Calo review","https://www.everymealguide.com/reviews/calo/","uae","prepared","Calo","affiliate-target","needs source-backed review polish","63","Add who-it-fits verdict, current offer source note, alternatives, comparison links, and /go/ CTA.","Source category: prepared meals"
"review","Calori review","https://www.everymealguide.com/reviews/calori/","finland","prepared","Calori","affiliate-target","needs source-backed review polish","64","Add who-it-fits verdict, current offer source note, alternatives, comparison links, and /go/ CTA.","Source category: prepared meals"
"review","Comme J'aime review","https://www.everymealguide.com/reviews/comme-j-aime/","france","prepared","Comme J'aime","affiliate-target","needs source-backed review polish","65","Add who-it-fits verdict, current offer source note, alternatives, comparison links, and /go/ CTA.","Source category: diet prepared meals"
"review","Dietbon review","https://www.everymealguide.com/reviews/dietbon/","france","prepared","Dietbon","affiliate-target","needs source-backed review polish","66","Add who-it-fits verdict, current offer source note, alternatives, comparison links, and /go/ CTA.","Source category: diet prepared meals"
"review","EatFit review","https://www.everymealguide.com/reviews/eatfit/","india","meal-delivery","EatFit","affiliate-target","needs source-backed review polish","67","Add who-it-fits verdict, current offer source note, alternatives, comparison links, and /go/ CTA.","Source category: healthy meal delivery"
"review","Factor review","https://www.everymealguide.com/reviews/factor/","belgium","prepared","Factor","affiliate-target","needs source-backed review polish","68","Add who-it-fits verdict, current offer source note, alternatives, comparison links, and /go/ CTA.","Source category: prepared meals"
"review","FitChef review","https://www.everymealguide.com/reviews/fitchef/","south-africa","prepared","FitChef","affiliate-target","needs source-backed review polish","69","Add who-it-fits verdict, current offer source note, alternatives, comparison links, and /go/ CTA.","Source category: prepared meals"
