"brand","slug","go_route","go_route_exists","review_route","review_route_exists","source_rows","countries","categories","affiliate_program_target","tracking_url_status","cash_route_status","next_money_action","source_next_action"
"Angel Delivery","angel-delivery","/go/angel-delivery/","yes","/reviews/angel-delivery/","yes","1","New Zealand","frozen meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to New Zealand frozen and family meal pages"
"Angel Food","angel-food","/go/angel-food/","yes","/reviews/angel-food/","yes","1","New Zealand","plant-based pantry meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Categorize as vegan grocery dinner helper"
"Anona Diet","anona-diet","/go/anona-diet/","yes","/reviews/anona-diet/","yes","1","Kuwait","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Kuwait diet meal delivery pages"
"Apetito UK","apetito-uk","/go/apetito-uk/","yes","/reviews/apetito-uk/","yes","1","UK","frozen senior meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to UK senior frozen meal alternatives pages"
"Athlete Kitchen UK","athlete-kitchen-uk","/go/athlete-kitchen-uk/","yes","/reviews/athlete-kitchen-uk/","yes","1","UK","high protein prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Wales and UK performance meal-prep alternatives"
"Athletes Kitchen","athletes-kitchen","/go/athletes-kitchen/","yes","/reviews/athletes-kitchen/","yes","1","Canada","high protein meal prep","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Canada fitness meal-prep pages"
"Athlete's Kitchen","athlete-s-kitchen","/go/athlete-s-kitchen/","yes","/reviews/athlete-s-kitchen/","yes","1","Canada","high protein meal prep","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Promote to Canada regional high-protein meal prep pages"
"Athletes Kitchen Toronto","athletes-kitchen-toronto","/go/athletes-kitchen-toronto/","yes","/reviews/athletes-kitchen-toronto/","yes","1","Canada","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Atkins","atkins","/go/atkins/","yes","/reviews/atkins/","yes","1","US","diet frozen meals","retail affiliate","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to low-carb frozen meal and diet pages"
"Aussie Meal Prep","aussie-meal-prep","/go/aussie-meal-prep/","yes","/reviews/aussie-meal-prep/","yes","1","Australia","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Aussie Muscle Meals","aussie-muscle-meals","/go/aussie-muscle-meals/","yes","/reviews/aussie-muscle-meals/","yes","1","Australia","high protein meal prep","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Promote from candidate with route caveat"
"Bachan's","bachan-s","/go/bachan-s/","yes","/reviews/bachan-s/","yes","1","US","meal starter kits","retail affiliate","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to meal starter and grocery dinner helper pages"
"Bain Marie","bain-marie","/go/bain-marie/","yes","/reviews/bain-marie/","yes","1","Hong Kong","prepared meals","direct partnership after direct-order route check","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Hong Kong meal-plan alternatives with source caveat"
"Balance Box","balance-box","/go/balance-box/","yes","/reviews/balance-box/","yes","1","UK","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to UK diet prepared-meal pages"
"Balance by bistroMD","balance-by-bistromd","/go/balance-by-bistromd/","yes","/reviews/balance-by-bistromd/","yes","1","US","diet prepared meals","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Account for search demand and avoid duplicate recommendation claims"
"Balance Meals","balance-meals","/go/balance-meals/","yes","/reviews/balance-meals/","yes","1","UK","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Balanced Bites","balanced-bites","/go/balanced-bites/","yes","/reviews/balanced-bites/","yes","1","US","frozen prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Refresh official URL and add to specialty frozen meal pages"
"Banza","banza","/go/banza/","yes","/reviews/banza/","yes","1","US","shelf-stable meals","retail affiliate","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to high-protein pantry dinner helper pages"
"Bargain Box","bargain-box","/go/bargain-box/","yes","/reviews/bargain-box/","yes","2","New Zealand|new-zealand","budget meal kit|meal kit","affiliate application|needs_research","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to New Zealand budget and family pages | Research affiliate or direct partner contact."
"Basiligo","basiligo","/go/basiligo/","yes","/reviews/basiligo/","yes","1","UAE","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to UAE clean-eating and diet meal-plan pages"
"Be Fit Food","be-fit-food","/go/be-fit-food/","yes","/reviews/be-fit-food/","yes","1","Australia","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to AU diet and weight-loss comparisons"
"Beehive Meals","beehive-meals","/go/beehive-meals/","yes","/reviews/beehive-meals/","yes","1","US","frozen family meals","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to frozen family dinner and kids/family meal pages"
"Beleaf","beleaf","/go/beleaf/","yes","/reviews/beleaf/","yes","1","Brazil","plant-based frozen meals","retail affiliate or direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Brazil plant-based frozen meal pages with retail-route caveat"
"Bellyful","bellyful","/go/bellyful/","yes","/reviews/bellyful/","yes","1","New Zealand","frozen family meals","not ready","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Account for non-commercial meal support searches, do not monetize"
"Benefit Qatar","benefit-qatar","/go/benefit-qatar/","yes","/reviews/benefit-qatar/","yes","1","Qatar","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Qatar prepared meal-plan pages"
"Bertrand","bertrand","/go/bertrand/","yes","/reviews/bertrand/","yes","1","Europe","complete nutrition meal replacement","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to organic meal replacement challenger pages"
"Betty Bossi","betty-bossi","/go/betty-bossi/","yes","/reviews/betty-bossi/","yes","1","Switzerland","meal kit","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Switzerland recipe-kit and dinner helper pages"
"BexTheChef","bexthechef","/go/bexthechef/","yes","/reviews/bexthechef/","yes","1","South Africa","frozen prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to South Africa frozen prepared meal challenger pages"
"Birds Eye Voila","birds-eye-voila","/go/birds-eye-voila/","yes","/reviews/birds-eye-voila/","yes","1","US","frozen skillet meals","retail affiliate","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to frozen skillet meal pages"
"bistroMD","bistromd","/go/bistromd/","yes","/reviews/bistromd/","yes","1","US","diet prepared meals","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to US diet, weight-loss, diabetic, and high-protein pages"
"Blue Apron","blue-apron","/go/blue-apron/","yes","/reviews/blue-apron/","yes","1","US","meal kit","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Promote from missing-priority to active route-ready coverage"
"Body Chief","body-chief","/go/body-chief/","yes","/reviews/body-chief/","yes","1","Poland","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Poland diet prepared meal pages"
"BodyChef Ireland","bodychef-ireland","/go/bodychef-ireland/","yes","/reviews/bodychef-ireland/","yes","1","Ireland","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Ireland diet prepared meal pages"
"Boerschappen","boerschappen","/go/boerschappen/","yes","/reviews/boerschappen/","yes","1","Netherlands","grocery dinner delivery","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Netherlands grocery-dinner and local produce pages"
"Bofrost","bofrost","/go/bofrost/","yes","/reviews/bofrost/","yes","1","germany","frozen meals","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Germany frozen meal delivery and family dinner pages"
"BOL Foods","bol-foods","/go/bol-foods/","yes","/reviews/bol-foods/","yes","1","UK","ready meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Bondi Meal Prep","bondi-meal-prep","/go/bondi-meal-prep/","yes","/reviews/bondi-meal-prep/","yes","1","Australia","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Brisbane Meal Prep","brisbane-meal-prep","/go/brisbane-meal-prep/","yes","/reviews/brisbane-meal-prep/","yes","1","Australia","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Brooklyn Delhi","brooklyn-delhi","/go/brooklyn-delhi/","yes","/reviews/brooklyn-delhi/","yes","1","US","meal starter kits","retail affiliate","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Indian meal starter pages"
"Burgreens","burgreens","/go/burgreens/","yes","/reviews/burgreens/","yes","1","Indonesia","plant-based prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Indonesia plant-based prepared meal pages"
"ButcherBox","butcherbox","/go/butcherbox/","yes","/reviews/butcherbox/","yes","1","US","protein box","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Promote from candidate as protein-box adjacent, not full meal delivery"
"Cali-Mex","cali-mex","/go/cali-mex/","yes","/reviews/cali-mex/","yes","1","Hong Kong","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Hong Kong international prepared meal challenger pages"
"Calo","calo","/go/calo/","yes","/reviews/calo/","yes","1","uae","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add as app-led UAE/GCC comparison target"
"Calo Bahrain","calo-bahrain","/go/calo-bahrain/","yes","/reviews/calo-bahrain/","yes","1","Bahrain","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add as Bahrain Calo local route"
"Calo Kuwait","calo-kuwait","/go/calo-kuwait/","yes","/reviews/calo-kuwait/","yes","1","Kuwait","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add as Kuwait prepared meal-plan anchor"
"Calo Oman","calo-oman","/go/calo-oman/","yes","/reviews/calo-oman/","yes","1","Oman","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Oman prepared meal-plan alternatives with app-route caveat"
"Calo Qatar","calo-qatar","/go/calo-qatar/","yes","/reviews/calo-qatar/","yes","1","Qatar","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Qatar prepared meal-plan comparisons"
"Calo Saudi Arabia","calo-saudi-arabia","/go/calo-saudi-arabia/","yes","/reviews/calo-saudi-arabia/","yes","1","Saudi Arabia","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Saudi prepared meal-plan pages"
"Calo UK","calo-uk","/go/calo-uk/","yes","/reviews/calo-uk/","yes","1","UK","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to UK healthy prepared-meal and Frive comparison pages"
"Calori","calori","/go/calori/","yes","/reviews/calori/","yes","1","finland","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Lead Finland prepared-meals comparison and direct partnership outreach"
"Calorie Care","calorie-care","/go/calorie-care/","yes","/reviews/calorie-care/","yes","1","india","diet prepared meals","direct partnership after active check","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify active status before recommendation"
"Calories Egypt","calories-egypt","/go/calories-egypt/","yes","/reviews/calories-egypt/","yes","1","Egypt","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Egypt diet prepared-meal challenger pages"
"Caserola Fit","caserola-fit","/go/caserola-fit/","yes","/reviews/caserola-fit/","yes","1","Romania","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add with active delivery caveat"
"Catered Fit","catered-fit","/go/catered-fit/","yes","/reviews/catered-fit/","yes","1","US","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to regional prepared meal and diet meal pages"
"Caulipower","caulipower","/go/caulipower/","yes","/reviews/caulipower/","yes","1","US","frozen gluten-free meals","retail affiliate","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to gluten-free frozen dinner pages"
"Caveman Chefs","caveman-chefs","/go/caveman-chefs/","yes","/reviews/caveman-chefs/","yes","1","US","paleo prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to paleo meal prep pages with regional caveat"
"Celeiro","celeiro","/go/celeiro/","yes","/reviews/celeiro/","yes","1","Portugal","grocery dinner delivery","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Portugal healthy grocery-dinner pages"
"Cerebelly","cerebelly","/go/cerebelly/","yes","/reviews/cerebelly/","yes","1","US","kids and baby meals","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Promote from candidate to baby and toddler food pages"
"Charlie Bigham's","charlie-bigham-s","/go/charlie-bigham-s/","yes","/reviews/charlie-bigham-s/","yes","1","UK","premium ready meals","retail affiliate","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Promote from candidate to UK premium ready-meal pages"
"Cheef","cheef","/go/cheef/","yes","/reviews/cheef/","yes","1","France","diet prepared meals","needs_research","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Research affiliate or direct partner path after domain is live."
"Chef Bob","chef-bob","/go/chef-bob/","yes","/reviews/chef-bob/","yes","1","Brazil","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Brazil frozen prepared meal pages"
"Chef Box Egypt","chef-box-egypt","/go/chef-box-egypt/","yes","/reviews/chef-box-egypt/","yes","1","Egypt","meal kit","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Egypt meal-kit and cook-at-home pages"
"Chef in a Box","chef-in-a-box","/go/chef-in-a-box/","yes","/reviews/chef-in-a-box/","yes","1","Ireland","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Ireland local prepared meal pages"
"Chef Made Meals Australia","chef-made-meals-australia","/go/chef-made-meals-australia/","yes","/reviews/chef-made-meals-australia/","yes","1","Australia","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Chef Meals Australia","chef-meals-australia","/go/chef-meals-australia/","yes","/reviews/chef-meals-australia/","yes","1","Australia","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL and active status"
"Chefgood","chefgood","/go/chefgood/","yes","/reviews/chefgood/","yes","1","Australia","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Use as AU healthy prepared-meal challenger"
"ChefPrep","chefprep","/go/chefprep/","yes","/reviews/chefprep/","yes","1","Australia","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to AU chef-prepared meal marketplace pages"
"Chefs for Foodies","chefs-for-foodies","/go/chefs-for-foodies/","yes","/reviews/chefs-for-foodies/","yes","1","UK","chef-led kits","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Track for long-tail UK pages"
"Chefs Plate","chefs-plate","/go/chefs-plate/","yes","/reviews/chefs-plate/","yes","1","Canada","meal kit","yes","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Promote to Canada P0 and compare against HelloFresh Canada"
"Chef's Plate","chef-s-plate","/go/chef-s-plate/","yes","/reviews/chef-s-plate/","yes","1","Canada","meal kit","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Canada meal-kit comparisons"
"Chefs Plate Market","chefs-plate-market","/go/chefs-plate-market/","yes","/reviews/chefs-plate-market/","yes","1","Canada","meal kit add-ons","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Cityfood","cityfood","/go/cityfood/","yes","/reviews/cityfood/","yes","1","Hungary","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Hungary prepared meal challenger pages"
"Clean Creations","clean-creations","/go/clean-creations/","yes","/reviews/clean-creations/","yes","1","US","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Clean Cut Meals","clean-cut-meals","/go/clean-cut-meals/","yes","/reviews/clean-cut-meals/","yes","1","Ireland","high protein meal prep","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Ireland high-protein and healthy meal-prep pages"
"Clean Eats Bay Area","clean-eats-bay-area","/go/clean-eats-bay-area/","yes","/reviews/clean-eats-bay-area/","yes","1","US","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Bay Area prepared-meal alternatives"
"Clean Eats Canada","clean-eats-canada","/go/clean-eats-canada/","yes","/reviews/clean-eats-canada/","yes","1","Canada","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Clean Eats Ireland","clean-eats-ireland","/go/clean-eats-ireland/","yes","/reviews/clean-eats-ireland/","yes","1","Ireland","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Clean Eats Malaysia","clean-eats-malaysia","/go/clean-eats-malaysia/","yes","/reviews/clean-eats-malaysia/","yes","1","Malaysia","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Malaysia diet prepared meal challenger pages"
