site,page_type,parent_slug,slug,url,primary_keyword,secondary_keywords,intent,funnel_stage,location,service_or_topic,target_persona,title,meta_description,h1,content_angle,internal_links,schema_type,status,priority,metric_source,notes
Every Meal Guide,category,countries/canada,best-vegan-meal-delivery,https://www.everymealguide.com/countries/canada/best-vegan-meal-delivery/,best vegan meal delivery Canada,vegan and plant-based meals; deals; reviews; alternatives; delivery coverage,commercial,middle,Canada,vegan and plant-based meals,consumer dinner buyer,Best Vegan Meal Delivery Canada | Every Meal Guide,"Compare vegan and plant-based meals in Canada by price, format, routine fit, and current deal quality.",Best Vegan Meal Delivery in Canada,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/canada/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/canada,best-family-meal-delivery,https://www.everymealguide.com/countries/canada/best-family-meal-delivery/,best family meal delivery Canada,family dinners and kid-friendly meals; deals; reviews; alternatives; delivery coverage,commercial,middle,Canada,family dinners and kid-friendly meals,consumer dinner buyer,Best Family Meal Delivery Canada | Every Meal Guide,"Compare family dinners and kid-friendly meals in Canada by price, format, routine fit, and current deal quality.",Best Family Meal Delivery in Canada,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/canada/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/canada,best-weight-loss-meal-delivery,https://www.everymealguide.com/countries/canada/best-weight-loss-meal-delivery/,best weight loss meal delivery Canada,diet and calorie-controlled meals; deals; reviews; alternatives; delivery coverage,commercial,middle,Canada,diet and calorie-controlled meals,consumer dinner buyer,Best Weight Loss Meal Delivery Canada | Every Meal Guide,"Compare diet and calorie-controlled meals in Canada by price, format, routine fit, and current deal quality.",Best Weight Loss Meal Delivery in Canada,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/canada/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/canada,best-frozen-meal-delivery,https://www.everymealguide.com/countries/canada/best-frozen-meal-delivery/,best frozen meal delivery Canada,frozen ready meals; deals; reviews; alternatives; delivery coverage,commercial,middle,Canada,frozen ready meals,consumer dinner buyer,Best Frozen Meal Delivery Canada | Every Meal Guide,"Compare frozen ready meals in Canada by price, format, routine fit, and current deal quality.",Best Frozen Meal Delivery in Canada,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/canada/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,landing,countries/canada,meal-delivery-deals,https://www.everymealguide.com/countries/canada/meal-delivery-deals/,meal delivery deals Canada,discounts and first-order offers; deals; reviews; alternatives; delivery coverage,transactional,bottom,Canada,discounts and first-order offers,consumer dinner buyer,Meal Delivery Deals Canada | Every Meal Guide,"Compare discounts and first-order offers in Canada by price, format, routine fit, and current deal quality.",Meal Delivery Deals in Canada,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/canada/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,comparison,countries/canada,meal-kits-vs-prepared-meals,https://www.everymealguide.com/countries/canada/meal-kits-vs-prepared-meals/,meal kits vs prepared meals Canada,format decision; deals; reviews; alternatives; delivery coverage,commercial,middle,Canada,format decision,consumer dinner buyer,Meal Kits Vs Prepared Meals Canada | Every Meal Guide,"Compare format decision in Canada by price, format, routine fit, and current deal quality.",Meal Kits Vs Prepared Meals in Canada,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/canada/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"Article,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,location,countries/uk,best-meal-delivery,https://www.everymealguide.com/countries/uk/best-meal-delivery/,best meal delivery UK,all meal delivery services; deals; reviews; alternatives; delivery coverage,commercial,middle,UK,all meal delivery services,consumer dinner buyer,Best Meal Delivery UK | Every Meal Guide,"Compare all meal delivery services in UK by price, format, routine fit, and current deal quality.",Best Meal Delivery in UK,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/uk/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/uk,best-prepared-meals,https://www.everymealguide.com/countries/uk/best-prepared-meals/,best prepared meal delivery UK,prepared meals and heat-and-eat meals; deals; reviews; alternatives; delivery coverage,commercial,middle,UK,prepared meals and heat-and-eat meals,consumer dinner buyer,Best Prepared Meal Delivery UK | Every Meal Guide,"Compare prepared meals and heat-and-eat meals in UK by price, format, routine fit, and current deal quality.",Best Prepared Meal Delivery in UK,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/uk/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/uk,best-meal-kits,https://www.everymealguide.com/countries/uk/best-meal-kits/,best meal kits UK,meal kits you cook yourself; deals; reviews; alternatives; delivery coverage,commercial,middle,UK,meal kits you cook yourself,consumer dinner buyer,Best Meal Kits UK | Every Meal Guide,"Compare meal kits you cook yourself in UK by price, format, routine fit, and current deal quality.",Best Meal Kits in UK,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/uk/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/uk,best-high-protein-meal-delivery,https://www.everymealguide.com/countries/uk/best-high-protein-meal-delivery/,best high protein meal delivery UK,high-protein and fitness meal prep; deals; reviews; alternatives; delivery coverage,commercial,middle,UK,high-protein and fitness meal prep,consumer dinner buyer,Best High Protein Meal Delivery UK | Every Meal Guide,"Compare high-protein and fitness meal prep in UK by price, format, routine fit, and current deal quality.",Best High Protein Meal Delivery in UK,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/uk/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/uk,cheapest-meal-delivery,https://www.everymealguide.com/countries/uk/cheapest-meal-delivery/,cheapest meal delivery UK,budget meal kits and low-cost prepared meals; deals; reviews; alternatives; delivery coverage,commercial,middle,UK,budget meal kits and low-cost prepared meals,consumer dinner buyer,Cheapest Meal Delivery UK | Every Meal Guide,"Compare budget meal kits and low-cost prepared meals in UK by price, format, routine fit, and current deal quality.",Cheapest Meal Delivery in UK,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/uk/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/uk,best-vegan-meal-delivery,https://www.everymealguide.com/countries/uk/best-vegan-meal-delivery/,best vegan meal delivery UK,vegan and plant-based meals; deals; reviews; alternatives; delivery coverage,commercial,middle,UK,vegan and plant-based meals,consumer dinner buyer,Best Vegan Meal Delivery UK | Every Meal Guide,"Compare vegan and plant-based meals in UK by price, format, routine fit, and current deal quality.",Best Vegan Meal Delivery in UK,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/uk/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/uk,best-family-meal-delivery,https://www.everymealguide.com/countries/uk/best-family-meal-delivery/,best family meal delivery UK,family dinners and kid-friendly meals; deals; reviews; alternatives; delivery coverage,commercial,middle,UK,family dinners and kid-friendly meals,consumer dinner buyer,Best Family Meal Delivery UK | Every Meal Guide,"Compare family dinners and kid-friendly meals in UK by price, format, routine fit, and current deal quality.",Best Family Meal Delivery in UK,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/uk/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/uk,best-weight-loss-meal-delivery,https://www.everymealguide.com/countries/uk/best-weight-loss-meal-delivery/,best weight loss meal delivery UK,diet and calorie-controlled meals; deals; reviews; alternatives; delivery coverage,commercial,middle,UK,diet and calorie-controlled meals,consumer dinner buyer,Best Weight Loss Meal Delivery UK | Every Meal Guide,"Compare diet and calorie-controlled meals in UK by price, format, routine fit, and current deal quality.",Best Weight Loss Meal Delivery in UK,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/uk/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/uk,best-frozen-meal-delivery,https://www.everymealguide.com/countries/uk/best-frozen-meal-delivery/,best frozen meal delivery UK,frozen ready meals; deals; reviews; alternatives; delivery coverage,commercial,middle,UK,frozen ready meals,consumer dinner buyer,Best Frozen Meal Delivery UK | Every Meal Guide,"Compare frozen ready meals in UK by price, format, routine fit, and current deal quality.",Best Frozen Meal Delivery in UK,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/uk/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,landing,countries/uk,meal-delivery-deals,https://www.everymealguide.com/countries/uk/meal-delivery-deals/,meal delivery deals UK,discounts and first-order offers; deals; reviews; alternatives; delivery coverage,transactional,bottom,UK,discounts and first-order offers,consumer dinner buyer,Meal Delivery Deals UK | Every Meal Guide,"Compare discounts and first-order offers in UK by price, format, routine fit, and current deal quality.",Meal Delivery Deals in UK,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/uk/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,comparison,countries/uk,meal-kits-vs-prepared-meals,https://www.everymealguide.com/countries/uk/meal-kits-vs-prepared-meals/,meal kits vs prepared meals UK,format decision; deals; reviews; alternatives; delivery coverage,commercial,middle,UK,format decision,consumer dinner buyer,Meal Kits Vs Prepared Meals UK | Every Meal Guide,"Compare format decision in UK by price, format, routine fit, and current deal quality.",Meal Kits Vs Prepared Meals in UK,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/uk/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"Article,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,location,countries/ireland,best-meal-delivery,https://www.everymealguide.com/countries/ireland/best-meal-delivery/,best meal delivery Ireland,all meal delivery services; deals; reviews; alternatives; delivery coverage,commercial,middle,Ireland,all meal delivery services,consumer dinner buyer,Best Meal Delivery Ireland | Every Meal Guide,"Compare all meal delivery services in Ireland by price, format, routine fit, and current deal quality.",Best Meal Delivery in Ireland,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/ireland/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/ireland,best-prepared-meals,https://www.everymealguide.com/countries/ireland/best-prepared-meals/,best prepared meal delivery Ireland,prepared meals and heat-and-eat meals; deals; reviews; alternatives; delivery coverage,commercial,middle,Ireland,prepared meals and heat-and-eat meals,consumer dinner buyer,Best Prepared Meal Delivery Ireland | Every Meal Guide,"Compare prepared meals and heat-and-eat meals in Ireland by price, format, routine fit, and current deal quality.",Best Prepared Meal Delivery in Ireland,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/ireland/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/ireland,best-meal-kits,https://www.everymealguide.com/countries/ireland/best-meal-kits/,best meal kits Ireland,meal kits you cook yourself; deals; reviews; alternatives; delivery coverage,commercial,middle,Ireland,meal kits you cook yourself,consumer dinner buyer,Best Meal Kits Ireland | Every Meal Guide,"Compare meal kits you cook yourself in Ireland by price, format, routine fit, and current deal quality.",Best Meal Kits in Ireland,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/ireland/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/ireland,best-high-protein-meal-delivery,https://www.everymealguide.com/countries/ireland/best-high-protein-meal-delivery/,best high protein meal delivery Ireland,high-protein and fitness meal prep; deals; reviews; alternatives; delivery coverage,commercial,middle,Ireland,high-protein and fitness meal prep,consumer dinner buyer,Best High Protein Meal Delivery Ireland | Every Meal Guide,"Compare high-protein and fitness meal prep in Ireland by price, format, routine fit, and current deal quality.",Best High Protein Meal Delivery in Ireland,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/ireland/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/ireland,cheapest-meal-delivery,https://www.everymealguide.com/countries/ireland/cheapest-meal-delivery/,cheapest meal delivery Ireland,budget meal kits and low-cost prepared meals; deals; reviews; alternatives; delivery coverage,commercial,middle,Ireland,budget meal kits and low-cost prepared meals,consumer dinner buyer,Cheapest Meal Delivery Ireland | Every Meal Guide,"Compare budget meal kits and low-cost prepared meals in Ireland by price, format, routine fit, and current deal quality.",Cheapest Meal Delivery in Ireland,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/ireland/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
