priority_rank,brand,route,countries,categories,official_url,affiliate_target,next_action,owner_gate
42,Chefs Plate,/go/chefs-plate/,Canada,meal kit,https://www.chefsplate.com/,yes,Promote to Canada P0 and compare against HelloFresh Canada,apply_or_contact_after_domain_live
43,Chefs Plate Market,/go/chefs-plate-market/,Canada,meal kit add-ons,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",apply_or_contact_after_domain_live
44,Clean Creations,/go/clean-creations/,US,prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",apply_or_contact_after_domain_live
45,Clean Cut Meals,/go/clean-cut-meals/,Ireland,high protein meal prep,https://cleancutmeals.ie/,direct partnership,Add to Ireland high-protein and healthy meal-prep pages,apply_or_contact_after_domain_live
46,Clean Eats Canada,/go/clean-eats-canada/,Canada,prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",apply_or_contact_after_domain_live
47,Clean Eats Ireland,/go/clean-eats-ireland/,Ireland,prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",apply_or_contact_after_domain_live
48,Clean Eatz Kitchen,/go/clean-eatz-kitchen/,US,prepared meals,https://www.cleaneatzkitchen.com/,direct partnership,Promote to US value prepared-meal and GLP-1 support comparisons,apply_or_contact_after_domain_live
49,Comme J'aime,/go/comme-j-aime/,france,diet prepared meals,https://www.commejaime.fr/,affiliate application,Add to France diet meal delivery comparisons,apply_or_contact_after_domain_live
50,COOK,/go/cook/,UK,frozen meals,https://www.cookfood.net/,affiliate application,Add to UK family frozen-meal comparisons,apply_or_contact_after_domain_live
51,Cook it,/go/cook-it/,Canada,meal kit,https://www.chefcookit.com/,direct partnership,Add to Quebec and Canada meal-kit comparisons,apply_or_contact_after_domain_live
52,Cook My Grub,/go/cook-my-grub/,UK,prepared meals,https://www.cookmygrub.com/,direct partnership,Add to UK ethnic/home-style prepared meal challenger pages,apply_or_contact_after_domain_live
53,CookUnity,/go/cookunity/,US,prepared meals,https://www.cookunity.com/,yes,Keep as chef-prepared P0 and ZIP-dependent check,apply_or_contact_after_domain_live
54,CookUnity Canada,/go/cookunity-canada/,Canada,prepared meals,https://www.cookunity.com/en-ca,affiliate application,Promote from missing priority to route-ready Canadian prepared meal coverage,apply_or_contact_after_domain_live
55,Core Powerfoods,/go/core-powerfoods/,Australia,high protein prepared meals,https://corepowerfoods.com/,direct partnership,Add to AU high-protein frozen meal pages,apply_or_contact_after_domain_live
56,Cork Meal Prep,/go/cork-meal-prep/,Ireland,prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",apply_or_contact_after_domain_live
57,Cortilia,/go/cortilia/,Italy,grocery dinner delivery,https://www.cortilia.it/,affiliate application,Add to Italy grocery-dinner pages,apply_or_contact_after_domain_live
58,DabbaDrop,/go/dabbadrop/,UK,plant-based prepared meals,https://dabbadrop.co.uk/,direct partnership,Promote to UK plant-based prepared meals and London local dinner pages,apply_or_contact_after_domain_live
59,Daily Harvest,/go/daily-harvest/,US,frozen plant-based meals,https://www.daily-harvest.com/,affiliate application,Add to US frozen vegan and smoothie meal pages,apply_or_contact_after_domain_live
60,Delidoor,/go/delidoor/,Australia,frozen prepared meals,https://delidoor.com.au/,direct partnership,Add to AU frozen prepared meal pages,apply_or_contact_after_domain_live
61,Detox Kitchen,/go/detox-kitchen/,UK,prepared meals,https://detoxkitchen.co.uk/,direct partnership,Add to wellness and healthy prepared-meal comparisons,apply_or_contact_after_domain_live
62,Diet-to-Go,/go/diet-to-go/,US,diet prepared meals,https://www.diettogo.com/,affiliate application,Add to US diet meal delivery and weight-loss comparisons,apply_or_contact_after_domain_live
63,Dietbon,/go/dietbon/,france,diet prepared meals,https://www.dietbon.fr/,affiliate application,Add to France diet prepared-meal and weight-loss pages,apply_or_contact_after_domain_live
64,Dietlicious,/go/dietlicious/,Australia,diet prepared meals,https://dietlicious.com.au/,direct partnership,Add to AU diet prepared-meal pages,apply_or_contact_after_domain_live
65,Dineamic,/go/dineamic/,Australia,prepared meals,https://www.dineamic.com.au/,direct partnership,Add to AU family and prepared-meal comparisons,apply_or_contact_after_domain_live
66,Dinner Sorted,/go/dinner-sorted/,Australia,meal kit,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",apply_or_contact_after_domain_live
67,Dinner Twist,/go/dinner-twist/,Australia,meal kit,https://dinnertwist.com.au/,possible,Add WA/regional meal-kit tracker,apply_or_contact_after_domain_live
68,Dinnerly,/go/dinnerly/,Global; US,budget meal kit,https://dinnerly.com/,yes,Expand budget meal-kit coverage and Marley Spoon parent angle,apply_or_contact_after_domain_live
69,Dinnerly Australia,/go/dinnerly-australia/,Australia,budget meal kit,https://dinnerly.com.au/,likely,Add AU budget page,apply_or_contact_after_domain_live
70,Dishpatch,/go/dishpatch/,UK,restaurant meal kits,https://dishpatch.co.uk/,affiliate application,Add to UK restaurant meal-kit and premium dinner pages,apply_or_contact_after_domain_live
71,DropChef,/go/dropchef/,Ireland,meal kit and prepared meals,https://dropchef.com/,affiliate application,Promote to Ireland meal-kit and prepared meal pages,apply_or_contact_after_domain_live
72,Dublin Meal Prep,/go/dublin-meal-prep/,Ireland,prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",apply_or_contact_after_domain_live
73,Dublin Meat Company Ready Meals,/go/dublin-meat-company-ready-meals/,Ireland,prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",apply_or_contact_after_domain_live
74,Easy Platter,/go/easy-platter/,Canada,meal kit,https://easyplatter.com/,possible,Add Canadian meal-kit tracker,apply_or_contact_after_domain_live
75,Eat Clean Bro,/go/eat-clean-bro/,US,prepared meals,https://eatcleanbro.com/,direct partnership,"Verify exact delivery footprint, then add to high-protein comparisons",apply_or_contact_after_domain_live
76,Eat Clean Meal Prep UK,/go/eat-clean-meal-prep-uk/,UK,prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",apply_or_contact_after_domain_live
77,Eat Fit Food,/go/eat-fit-food/,Australia,prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",apply_or_contact_after_domain_live
78,EatFit,/go/eatfit/,india,healthy meal delivery,https://www.eatfit.in/,direct partnership,Add as India mainstream healthy meal delivery anchor,apply_or_contact_after_domain_live
79,Eatto,/go/eatto/,Ireland,frozen prepared meals,https://eatto.ie/,direct partnership,Promote to Ireland frozen prepared meal pages,apply_or_contact_after_domain_live
80,Epicured,/go/epicured/,US,medical diet meals,https://www.epicured.com/,direct partnership,Use as medical/specialist diet meal anchor,apply_or_contact_after_domain_live
81,Ethey,/go/ethey/,Canada,prepared meals,https://pgs.ethey.com/,direct partnership,Promote from candidate to Canada prepared meal pages,apply_or_contact_after_domain_live
82,EveryPlate,/go/everyplate/,Global; US,budget meal kit,https://www.everyplate.com/,yes,Expand cheap meal delivery and EveryPlate vs Dinnerly,apply_or_contact_after_domain_live
83,EveryPlate Australia,/go/everyplate-australia/,Australia,budget meal kit,https://www.everyplate.com.au/,likely,Add AU cheap meal kit page,apply_or_contact_after_domain_live
84,Evolve Paleo Chef,/go/evolve-paleo-chef/,US,specialty prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",apply_or_contact_after_domain_live
85,Factor,/go/factor/,Germany; Global; Netherlands; US; belgium; sweden,prepared meals,https://www.factor75.com/,yes,Keep as prepared-meal P0 and apply once live domain exists,apply_or_contact_after_domain_live
86,Factor Canada,/go/factor-canada/,Canada,prepared meals,https://www.factor75.com/pages/canada,yes,Add to Canada Factor prepared meal comparisons,apply_or_contact_after_domain_live
87,Field Doctor,/go/field-doctor/,UK,frozen diet prepared meals,https://www.fielddoctor.co.uk/,affiliate application,"Add to UK diet, frozen, and health-specific meal pages",apply_or_contact_after_domain_live
88,Fit Foods Ireland,/go/fit-foods-ireland/,Ireland,prepared meals,https://fitfoodsforlife.com/,possible,Confirm delivery/order path and affiliate program before recommendation.,apply_or_contact_after_domain_live
89,Fit Fuel UK,/go/fit-fuel-uk/,UK,prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",apply_or_contact_after_domain_live
90,Fit Kitchen Canada,/go/fit-kitchen-canada/,Canada,prepared meals,https://fitkitchen.ca/,direct partnership,Promote to Canada prepared and fitness meal pages,apply_or_contact_after_domain_live
91,Fit Kitchen UK,/go/fit-kitchen-uk/,UK,prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",apply_or_contact_after_domain_live
92,FitChef,/go/fitchef/,south-africa,prepared meals,https://orders.fitchef.co.za/customer/menu/meals,direct partnership,Lead South Africa prepared-meal comparison and outreach,apply_or_contact_after_domain_live
93,Fitlife Foods,/go/fitlife-foods/,US,prepared meals,https://eatfitlifefoods.com/,direct partnership,Promote from candidate with regional availability caveat,apply_or_contact_after_domain_live
94,FlexPro Meals,/go/flexpro-meals/,US,fitness prepared meals,https://www.flexpromeals.com/,direct partnership,Use for US gym and bulk meal-prep pages,apply_or_contact_after_domain_live
95,Food Darzee,/go/food-darzee/,india,diet prepared meals,https://fooddarzee.com/,direct partnership,Lead India healthy meal-plan comparison and outreach,apply_or_contact_after_domain_live
96,Foodbag,/go/foodbag/,belgium,meal kit and ready meals,https://www.foodbag.be/,direct partnership,Position as local Belgium alternative to HelloFresh and Marley Spoon,apply_or_contact_after_domain_live
97,FoodSt,/go/foodst/,Australia,prepared meals,https://foodst.com.au/,possible,Add prepared meals alternative,apply_or_contact_after_domain_live
98,Fresh Fitness Food,/go/fresh-fitness-food/,UK,prepared meals,https://www.freshfitnessfood.com/,not ready,Use for alternatives and migration context; route active users to Calo UK,apply_or_contact_after_domain_live
99,Fresh Meal Plan,/go/fresh-meal-plan/,US,prepared meals,https://freshmealplan.com/,affiliate application,Add to US fresh prepared meal challenger pages,apply_or_contact_after_domain_live
100,Fresh N Lean,/go/fresh-n-lean/,US,prepared meals,https://www.freshnlean.com/,not ready,"Create alternatives angle, do not recommend as active",apply_or_contact_after_domain_live
