country,country_slug,category_cluster,brand_a,brand_b,winner,url,status
United Kingdom,uk,frozen meal delivery,allplants,Apetito UK,allplants,/vs/allplants-vs-apetito-uk-uk-frozen-meal-delivery/,generated
United Kingdom,uk,frozen meal delivery,allplants,Planty,Planty,/vs/allplants-vs-planty-uk-frozen-meal-delivery/,generated
United Kingdom,uk,frozen meal delivery,allplants,STOCKED,STOCKED,/vs/allplants-vs-stocked-uk-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Amy's Kitchen,Afia,Amy's Kitchen,/vs/amy-s-kitchen-vs-afia-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Amy's Kitchen,Balanced Bites,Amy's Kitchen,/vs/amy-s-kitchen-vs-balanced-bites-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Amy's Kitchen,Beehive Meals,Amy's Kitchen,/vs/amy-s-kitchen-vs-beehive-meals-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Amy's Kitchen,Birds Eye Voila,Amy's Kitchen,/vs/amy-s-kitchen-vs-birds-eye-voila-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Amy's Kitchen,Caulipower,Amy's Kitchen,/vs/amy-s-kitchen-vs-caulipower-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Amy's Kitchen,Daily Harvest,Amy's Kitchen,/vs/amy-s-kitchen-vs-daily-harvest-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Amy's Kitchen,Deep Indian Kitchen,Amy's Kitchen,/vs/amy-s-kitchen-vs-deep-indian-kitchen-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Amy's Kitchen,EatFlavorly,Amy's Kitchen,/vs/amy-s-kitchen-vs-eatflavorly-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Amy's Kitchen,Evol,Amy's Kitchen,/vs/amy-s-kitchen-vs-evol-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Amy's Kitchen,Gardein,Amy's Kitchen,/vs/amy-s-kitchen-vs-gardein-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Amy's Kitchen,Good Food Made Simple,Amy's Kitchen,/vs/amy-s-kitchen-vs-good-food-made-simple-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Amy's Kitchen,Ipsa Provisions,Amy's Kitchen,/vs/amy-s-kitchen-vs-ipsa-provisions-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Amy's Kitchen,Marie Callender's,Amy's Kitchen,/vs/amy-s-kitchen-vs-marie-callender-s-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Amy's Kitchen,Mosaic Foods,Mosaic Foods,/vs/amy-s-kitchen-vs-mosaic-foods-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Amy's Kitchen,P.F. Chang's Home Menu,Amy's Kitchen,/vs/amy-s-kitchen-vs-p-f-chang-s-home-menu-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Amy's Kitchen,Saffron Road,Saffron Road,/vs/amy-s-kitchen-vs-saffron-road-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Amy's Kitchen,Stouffer's,Stouffer's,/vs/amy-s-kitchen-vs-stouffer-s-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Amy's Kitchen,Sweet Earth,Amy's Kitchen,/vs/amy-s-kitchen-vs-sweet-earth-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Amy's Kitchen,Top Chef Meals,Amy's Kitchen,/vs/amy-s-kitchen-vs-top-chef-meals-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Amy's Kitchen,Wildgrain,Amy's Kitchen,/vs/amy-s-kitchen-vs-wildgrain-us-frozen-meal-delivery/,generated
New Zealand,new-zealand,frozen meal delivery,Angel Delivery,Bellyful,Angel Delivery,/vs/angel-delivery-vs-bellyful-new-zealand-frozen-meal-delivery/,generated
New Zealand,new-zealand,frozen meal delivery,Angel Delivery,FED New Zealand,Angel Delivery,/vs/angel-delivery-vs-fed-new-zealand-new-zealand-frozen-meal-delivery/,generated
Kuwait,kuwait,diet meal delivery,Anona Diet,Diet Care,Diet Care,/vs/anona-diet-vs-diet-care-kuwait-diet-meal-delivery/,generated
Kuwait,kuwait,diet meal delivery,Anona Diet,Diet Care Kuwait,Anona Diet,/vs/anona-diet-vs-diet-care-kuwait-kuwait-diet-meal-delivery/,generated
United Kingdom,uk,frozen meal delivery,Apetito UK,Planty,Planty,/vs/apetito-uk-vs-planty-uk-frozen-meal-delivery/,generated
United Kingdom,uk,frozen meal delivery,Apetito UK,STOCKED,STOCKED,/vs/apetito-uk-vs-stocked-uk-frozen-meal-delivery/,generated
Canada,canada,high-protein meal prep,Athlete's Kitchen,Athletes Kitchen,Athlete's Kitchen,/vs/athlete-s-kitchen-vs-athletes-kitchen-canada-high-protein-meal-prep/,generated
Canada,canada,high-protein meal prep,Athlete's Kitchen,Power Kitchen,Power Kitchen,/vs/athlete-s-kitchen-vs-power-kitchen-canada-high-protein-meal-prep/,generated
Canada,canada,high-protein meal prep,Athlete's Kitchen,Power Kitchen Canada Toronto,Athlete's Kitchen,/vs/athlete-s-kitchen-vs-power-kitchen-canada-toronto-canada-high-protein-meal-prep/,generated
Canada,canada,high-protein meal prep,Athlete's Kitchen,Protein Chefs,Athlete's Kitchen,/vs/athlete-s-kitchen-vs-protein-chefs-canada-high-protein-meal-prep/,generated
Canada,canada,high-protein meal prep,Athletes Kitchen,Power Kitchen Canada Toronto,Athletes Kitchen,/vs/athletes-kitchen-vs-power-kitchen-canada-toronto-canada-high-protein-meal-prep/,generated
Canada,canada,high-protein meal prep,Athletes Kitchen,Protein Chefs,Protein Chefs,/vs/athletes-kitchen-vs-protein-chefs-canada-high-protein-meal-prep/,generated
United States,us,diet meal delivery,Atkins,Clean Eats Meal Prep,Atkins,/vs/atkins-vs-clean-eats-meal-prep-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Atkins,Fit & Fresh Meals,Atkins,/vs/atkins-vs-fit-and-fresh-meals-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Atkins,Fresh Fit Meals,Atkins,/vs/atkins-vs-fresh-fit-meals-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Atkins,Healthy Course Meals,Atkins,/vs/atkins-vs-healthy-course-meals-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Atkins,Healthy For Life Meals,Atkins,/vs/atkins-vs-healthy-for-life-meals-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Atkins,Healthy Meals Kitchen,Atkins,/vs/atkins-vs-healthy-meals-kitchen-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Atkins,Healthy Xpress,Atkins,/vs/atkins-vs-healthy-xpress-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Atkins,Hers Meal Replacement,Atkins,/vs/atkins-vs-hers-meal-replacement-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Atkins,LifeChef,Atkins,/vs/atkins-vs-lifechef-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Atkins,NutriFit,Atkins,/vs/atkins-vs-nutrifit-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Atkins,OPTAVIA,Atkins,/vs/atkins-vs-optavia-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Atkins,Seattle Sutton's Healthy Eating,Atkins,/vs/atkins-vs-seattle-sutton-s-healthy-eating-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Atkins,Urban AIP,Atkins,/vs/atkins-vs-urban-aip-us-diet-meal-delivery/,generated
Australia,australia,prepared meal delivery,Aussie Meal Prep,Bondi Meal Prep,Bondi Meal Prep,/vs/aussie-meal-prep-vs-bondi-meal-prep-australia-prepared-meal-delivery/,generated
Australia,australia,high-protein meal prep,Aussie Muscle Meals,Fit Chef Australia,Fit Chef Australia,/vs/aussie-muscle-meals-vs-fit-chef-australia-australia-high-protein-meal-prep/,generated
United States,us,meal starter kits,Bachan's,Brooklyn Delhi,Bachan's,/vs/bachan-s-vs-brooklyn-delhi-us-meal-starter-kits/,generated
United States,us,meal starter kits,Bachan's,Fly By Jing,Bachan's,/vs/bachan-s-vs-fly-by-jing-us-meal-starter-kits/,generated
United States,us,meal starter kits,Bachan's,Momofuku Goods,Bachan's,/vs/bachan-s-vs-momofuku-goods-us-meal-starter-kits/,generated
Hong Kong,hong-kong,prepared meal delivery,Bain Marie,Cali-Mex,Cali-Mex,/vs/bain-marie-vs-cali-mex-hong-kong-prepared-meal-delivery/,generated
Hong Kong,hong-kong,prepared meal delivery,Bain Marie,Fete Up,Fete Up,/vs/bain-marie-vs-fete-up-hong-kong-prepared-meal-delivery/,generated
United Kingdom,uk,diet meal delivery,Balance Box,The Pure Package,Balance Box,/vs/balance-box-vs-the-pure-package-uk-diet-meal-delivery/,generated
United States,us,frozen meal delivery,Balanced Bites,Caulipower,Caulipower,/vs/balanced-bites-vs-caulipower-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Balanced Bites,Good Food Made Simple,Balanced Bites,/vs/balanced-bites-vs-good-food-made-simple-us-frozen-meal-delivery/,generated
United States,us,shelf-stable meals,Banza,Goodles,Banza,/vs/banza-vs-goodles-us-shelf-stable-meals/,generated
United States,us,shelf-stable meals,Banza,Maya Kaimal Everyday Dal,Banza,/vs/banza-vs-maya-kaimal-everyday-dal-us-shelf-stable-meals/,generated
United States,us,shelf-stable meals,Banza,Tasty Bite Protein Bowls,Banza,/vs/banza-vs-tasty-bite-protein-bowls-us-shelf-stable-meals/,generated
New Zealand,new-zealand,meal kits,Bargain Box,Green Dinner Table,Bargain Box,/vs/bargain-box-vs-green-dinner-table-new-zealand-meal-kits/,generated
New Zealand,new-zealand,meal kits,Bargain Box,HelloFresh,HelloFresh,/vs/bargain-box-vs-hellofresh-new-zealand-meal-kits/,generated
New Zealand,new-zealand,meal kits,Bargain Box,My Food Bag,Bargain Box,/vs/bargain-box-vs-my-food-bag-new-zealand-meal-kits/,generated
New Zealand,new-zealand,meal kits,Bargain Box,The Kai Box,Bargain Box,/vs/bargain-box-vs-the-kai-box-new-zealand-meal-kits/,generated
New Zealand,new-zealand,meal kits,Bargain Box,Woop,Woop,/vs/bargain-box-vs-woop-new-zealand-meal-kits/,generated
UAE,uae,diet meal delivery,Basiligo,Eat Clean ME,Basiligo,/vs/basiligo-vs-eat-clean-me-uae-diet-meal-delivery/,generated
UAE,uae,diet meal delivery,Basiligo,FITT Meals,Basiligo,/vs/basiligo-vs-fitt-meals-uae-diet-meal-delivery/,generated
Australia,australia,diet meal delivery,Be Fit Food,A Life Plus,Be Fit Food,/vs/be-fit-food-vs-a-life-plus-australia-diet-meal-delivery/,generated
Australia,australia,diet meal delivery,Be Fit Food,Dietlicious,Be Fit Food,/vs/be-fit-food-vs-dietlicious-australia-diet-meal-delivery/,generated
Australia,australia,diet meal delivery,Be Fit Food,Foober,Foober,/vs/be-fit-food-vs-foober-australia-diet-meal-delivery/,generated
Australia,australia,diet meal delivery,Be Fit Food,Jenny Craig Australia,Be Fit Food,/vs/be-fit-food-vs-jenny-craig-australia-australia-diet-meal-delivery/,generated
Australia,australia,diet meal delivery,Be Fit Food,Weight Watchers Meals Australia,Be Fit Food,/vs/be-fit-food-vs-weight-watchers-meals-australia-australia-diet-meal-delivery/,generated
United States,us,frozen meal delivery,Beehive Meals,Afia,Beehive Meals,/vs/beehive-meals-vs-afia-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Beehive Meals,Balanced Bites,Beehive Meals,/vs/beehive-meals-vs-balanced-bites-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Beehive Meals,Birds Eye Voila,Beehive Meals,/vs/beehive-meals-vs-birds-eye-voila-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Beehive Meals,Caulipower,Beehive Meals,/vs/beehive-meals-vs-caulipower-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Beehive Meals,EatFlavorly,EatFlavorly,/vs/beehive-meals-vs-eatflavorly-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Beehive Meals,Evol,Evol,/vs/beehive-meals-vs-evol-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Beehive Meals,Gardein,Gardein,/vs/beehive-meals-vs-gardein-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Beehive Meals,Good Food Made Simple,Beehive Meals,/vs/beehive-meals-vs-good-food-made-simple-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Beehive Meals,Ipsa Provisions,Beehive Meals,/vs/beehive-meals-vs-ipsa-provisions-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Beehive Meals,P.F. Chang's Home Menu,Beehive Meals,/vs/beehive-meals-vs-p-f-chang-s-home-menu-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Beehive Meals,Sweet Earth,Sweet Earth,/vs/beehive-meals-vs-sweet-earth-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Beehive Meals,Top Chef Meals,Beehive Meals,/vs/beehive-meals-vs-top-chef-meals-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Beehive Meals,Wildgrain,Wildgrain,/vs/beehive-meals-vs-wildgrain-us-frozen-meal-delivery/,generated
Brazil,brazil,frozen meal delivery,Beleaf,Congelados da Sônia,Beleaf,/vs/beleaf-vs-congelados-da-sonia-brazil-frozen-meal-delivery/,generated
Qatar,qatar,diet meal delivery,Benefit Qatar,Diet Delights Qatar,Benefit Qatar,/vs/benefit-qatar-vs-diet-delights-qatar-qatar-diet-meal-delivery/,generated
Qatar,qatar,diet meal delivery,Benefit Qatar,Dieture,Dieture,/vs/benefit-qatar-vs-dieture-qatar-diet-meal-delivery/,generated
Europe,europe,complete nutrition meal replacement,Bertrand,Jake,Jake,/vs/bertrand-vs-jake-europe-complete-nutrition-meal-replacement/,generated
Europe,europe,complete nutrition meal replacement,Bertrand,Queal,Queal,/vs/bertrand-vs-queal-europe-complete-nutrition-meal-replacement/,generated
Europe,europe,complete nutrition meal replacement,Bertrand,Runtime,Runtime,/vs/bertrand-vs-runtime-europe-complete-nutrition-meal-replacement/,generated
Europe,europe,complete nutrition meal replacement,Bertrand,Saturo,Saturo,/vs/bertrand-vs-saturo-europe-complete-nutrition-meal-replacement/,generated
South Africa,south-africa,frozen meal delivery,BexTheChef,Frozen Food Factory,BexTheChef,/vs/bexthechef-vs-frozen-food-factory-south-africa-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Birds Eye Voila,Afia,Birds Eye Voila,/vs/birds-eye-voila-vs-afia-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Birds Eye Voila,Balanced Bites,Birds Eye Voila,/vs/birds-eye-voila-vs-balanced-bites-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Birds Eye Voila,Caulipower,Birds Eye Voila,/vs/birds-eye-voila-vs-caulipower-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Birds Eye Voila,EatFlavorly,EatFlavorly,/vs/birds-eye-voila-vs-eatflavorly-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Birds Eye Voila,Evol,Evol,/vs/birds-eye-voila-vs-evol-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Birds Eye Voila,Gardein,Gardein,/vs/birds-eye-voila-vs-gardein-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Birds Eye Voila,Good Food Made Simple,Birds Eye Voila,/vs/birds-eye-voila-vs-good-food-made-simple-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Birds Eye Voila,Ipsa Provisions,Birds Eye Voila,/vs/birds-eye-voila-vs-ipsa-provisions-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Birds Eye Voila,P.F. Chang's Home Menu,Birds Eye Voila,/vs/birds-eye-voila-vs-p-f-chang-s-home-menu-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Birds Eye Voila,Sweet Earth,Sweet Earth,/vs/birds-eye-voila-vs-sweet-earth-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Birds Eye Voila,Top Chef Meals,Top Chef Meals,/vs/birds-eye-voila-vs-top-chef-meals-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Birds Eye Voila,Wildgrain,Wildgrain,/vs/birds-eye-voila-vs-wildgrain-us-frozen-meal-delivery/,generated
United States,us,diet meal delivery,bistroMD,Atkins,bistroMD,/vs/bistromd-vs-atkins-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,bistroMD,Clean Eats Meal Prep,bistroMD,/vs/bistromd-vs-clean-eats-meal-prep-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,bistroMD,Diet-to-Go,bistroMD,/vs/bistromd-vs-diet-to-go-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,bistroMD,Epicured,bistroMD,/vs/bistromd-vs-epicured-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,bistroMD,Fit & Fresh Meals,bistroMD,/vs/bistromd-vs-fit-and-fresh-meals-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,bistroMD,Fresh Fit Meals,bistroMD,/vs/bistromd-vs-fresh-fit-meals-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,bistroMD,Healthy Choice,bistroMD,/vs/bistromd-vs-healthy-choice-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,bistroMD,Healthy Course Meals,bistroMD,/vs/bistromd-vs-healthy-course-meals-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,bistroMD,Healthy For Life Meals,bistroMD,/vs/bistromd-vs-healthy-for-life-meals-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,bistroMD,Healthy Meals Kitchen,bistroMD,/vs/bistromd-vs-healthy-meals-kitchen-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,bistroMD,Healthy Xpress,bistroMD,/vs/bistromd-vs-healthy-xpress-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,bistroMD,Hers Meal Replacement,bistroMD,/vs/bistromd-vs-hers-meal-replacement-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,bistroMD,Lean Cuisine,bistroMD,/vs/bistromd-vs-lean-cuisine-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,bistroMD,LifeChef,bistroMD,/vs/bistromd-vs-lifechef-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,bistroMD,Magic Kitchen,bistroMD,/vs/bistromd-vs-magic-kitchen-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,bistroMD,ModifyHealth,bistroMD,/vs/bistromd-vs-modifyhealth-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,bistroMD,NutriFit,bistroMD,/vs/bistromd-vs-nutrifit-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,bistroMD,OPTAVIA,bistroMD,/vs/bistromd-vs-optavia-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,bistroMD,Seattle Sutton's Healthy Eating,bistroMD,/vs/bistromd-vs-seattle-sutton-s-healthy-eating-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,bistroMD,Urban AIP,bistroMD,/vs/bistromd-vs-urban-aip-us-diet-meal-delivery/,generated
United States,us,meal kits,Blue Apron,Gobble,Gobble,/vs/blue-apron-vs-gobble-us-meal-kits/,generated
United States,us,meal kits,Blue Apron,Goldbelly Meal Kits,Blue Apron,/vs/blue-apron-vs-goldbelly-meal-kits-us-meal-kits/,generated
United States,us,meal kits,Blue Apron,Green Chef,Blue Apron,/vs/blue-apron-vs-green-chef-us-meal-kits/,generated
United States,us,meal kits,Blue Apron,Home Chef,Home Chef,/vs/blue-apron-vs-home-chef-us-meal-kits/,generated
United States,us,meal kits,Blue Apron,Marley Spoon,Blue Apron,/vs/blue-apron-vs-marley-spoon-us-meal-kits/,generated
United States,us,meal kits,Blue Apron,Miltown Eats,Blue Apron,/vs/blue-apron-vs-miltown-eats-us-meal-kits/,generated
United States,us,meal kits,Blue Apron,Plated,Blue Apron,/vs/blue-apron-vs-plated-us-meal-kits/,generated
United States,us,meal kits,Blue Apron,Purple Carrot,Blue Apron,/vs/blue-apron-vs-purple-carrot-us-meal-kits/,generated
United States,us,meal kits,Blue Apron,Sunbasket,Sunbasket,/vs/blue-apron-vs-sunbasket-us-meal-kits/,generated
United States,us,meal kits,Blue Apron,The Cumin Club,Blue Apron,/vs/blue-apron-vs-the-cumin-club-us-meal-kits/,generated
Poland,poland,diet meal delivery,Body Chief,Fit Apetit,Body Chief,/vs/body-chief-vs-fit-apetit-poland-diet-meal-delivery/,generated
Poland,poland,diet meal delivery,Body Chief,Kuchnia Vikinga,Body Chief,/vs/body-chief-vs-kuchnia-vikinga-poland-diet-meal-delivery/,generated
