country,brand,category,priority,site_status,market_role,official_url,affiliate_program_target,evidence_status,next_action
Mexico,Nurish,prepared meals,P1,active,Mexico City healthy meal prep service delivering chef-prepared meals weekly,https://nurish.mx/,direct partnership,official_source_checked_2026-06-24,Add to Mexico City prepared meal pages
Mexico,Fit Food Mexico,healthy meal delivery,P2,active,Mexican healthy meal delivery and prepared food candidate,https://fitfood.mx/,direct partnership,official_source_checked_2026-06-24,Add to Mexico healthy prepared meal challenger pages
Mexico,Eat Fit Mexico,prepared meals,P2,active,Mexican prepared meal and healthy eating brand candidate for local meal-prep demand,https://eatfit.com.mx/,direct partnership,official_source_checked_2026-06-24,Add to Mexico prepared meal challenger pages
Brazil,Liv Up,frozen prepared meals,P1,active_app_route,Brazilian direct-to-consumer healthy frozen meal brand with app-led ordering and strong national awareness,https://play.google.com/store/apps/details?id=br.com.livup.ecommerce,direct partnership after active route check,app_store_and_third_party_source_checked_2026-06-24,Add to Brazil frozen healthy meal pages with app-route caveat
Brazil,Beleaf,plant-based prepared meals,P1,active,Brazilian plant-based frozen prepared meal and vegan dinner brand,https://www.beleaf.com.br/,direct partnership,official_source_checked_2026-06-24,Add to Brazil vegan prepared meal pages
Brazil,Pronto Light,diet prepared meals,P2,active,Brazilian diet and healthy frozen meal delivery brand,https://www.prontolight.com.br/,direct partnership,official_source_checked_2026-06-24,Add to Brazil diet prepared meal pages
Brazil,Keep Light,diet prepared meals,P2,active,Brazilian healthy and diet prepared meal delivery brand,https://keeplight.com.br/,direct partnership,official_source_checked_2026-06-24,Add to Brazil healthy prepared meal challenger pages
Brazil,Chef Bob,prepared meals,P2,active,Brazilian chef-prepared frozen meal and easy dinner delivery brand,https://chefbob.com.br/,direct partnership,official_source_checked_2026-06-24,Add to Brazil frozen prepared meal pages
US,EatFlavorly,frozen prepared meals,P2,active,"frozen meal delivery brand with scratch-made meals, no subscription, and ready-in-minutes positioning",https://www.eatflavorly.com/,affiliate application,official_source_checked_2026-06-24,Add to US frozen no-subscription prepared meal pages
US,RealEats,prepared meals,P3,closed_or_inactive,"formerly notable prepared meal delivery brand; account for alternatives/search demand, but do not recommend as active",https://www.realeats.com/,not ready,active_status_needs_check_2026-06-24,Create alternatives angle only until active operations are proven
US,Eat Fit Go,prepared meals,P3,active_region_check,prepared meal and grab-and-go healthy meal brand with regional availability to verify,https://eatfitgo.com/,direct partnership after region check,official_source_checked_2026-06-24,Add to regional prepared meal pages with delivery caveat
US,Catered Fit,prepared meals,P2,active,healthy meal plan delivery service with prepared meals and South Florida/selected delivery areas,https://www.cateredfit.com/,direct partnership,official_source_checked_2026-06-24,Add to regional prepared meal and diet meal pages
US,Fitness Kitchen LA,prepared meals,P3,active_region_check,Los Angeles prepared meal delivery and meal prep candidate,https://fitnesskitchenla.com/,direct partnership,official_source_checked_2026-06-24,Add to LA prepared meal regional pages
US,Model Meals,prepared meals,P3,active_region_check,prepared meal delivery brand with Whole30/clean eating heritage and regional service caveats,https://modelmeals.com/,direct partnership,official_source_checked_2026-06-24,Add to clean eating prepared meal pages with active-region check
US,Fresh Meal Plan,prepared meals,P2,active,fresh prepared meal delivery brand with diet and convenience meal-plan positioning,https://www.freshmealplan.com/,direct partnership,official_source_checked_2026-06-24,Add to US prepared meal challenger pages
US,Meal Prep Sunday San Diego,prepared meals,P3,active_region_check,regional prepared meal delivery brand for San Diego meal prep demand,https://mealprepsundaysandiego.com/,direct partnership,official_source_checked_2026-06-24,Add to regional US meal-prep coverage
Canada,MealPro Canada,prepared meals,P3,active,Canadian prepared meal and meal-prep delivery candidate,https://mealpro.ca/,direct partnership,official_source_checked_2026-06-24,Add to Canada prepared meal challenger pages
Canada,Essential Meal Delivery,prepared meals,P3,active,Canadian prepared meal delivery candidate for healthy and convenient eating,https://essentialmealdelivery.com/,direct partnership,official_source_checked_2026-06-24,Add to Canada regional prepared meal pages
Australia,Meals in Minutes,prepared meals,P3,active,Australian ready-made meal delivery candidate for quick prepared dinner demand,https://mealsinminutes.com.au/,direct partnership,official_source_checked_2026-06-24,Add to AU quick prepared meal challenger pages
